Inference results by NN model
strain parameters and last term is v1
strain_x    strain_y     strain_z     v1
-0.03     -0.0     -0.0     0.77328837
-0.029     -0.0     -0.0     0.76532704
-0.028     -0.0     -0.0     0.75742275
-0.027     -0.0     -0.0     0.74960285
-0.026     -0.0     -0.0     0.7420277
-0.025     -0.0     -0.0     0.7345142
-0.024     -0.0     -0.0     0.72697157
-0.023     -0.0     -0.0     0.7194861
-0.022     -0.0     -0.0     0.71211684
-0.021     -0.0     -0.0     0.7048116
-0.02     -0.0     -0.0     0.6977068
-0.019     -0.0     -0.0     0.6905937
-0.018     -0.0     -0.0     0.6828968
-0.017     -0.0     -0.0     0.67476344
-0.016     -0.0     -0.0     0.666381
-0.015     -0.0     -0.0     0.65709007
-0.014     -0.0     -0.0     0.64688927
-0.013     -0.0     -0.0     0.6370165
-0.012     -0.0     -0.0     0.6274315
-0.011     -0.0     -0.0     0.61819315
-0.01     -0.0     -0.0     0.60931736
-0.009     -0.0     -0.0     0.60021526
-0.008     -0.0     -0.0     0.5918467
-0.007     -0.0     -0.0     0.58369213
-0.006     -0.0     -0.0     0.5749241
-0.005     -0.0     -0.0     0.56651026
-0.004     -0.0     -0.0     0.55632555
-0.003     -0.0     -0.0     0.5452068
-0.002     -0.0     -0.0     0.5348811
-0.001     -0.0     -0.0     0.5236412
0.0     0.0     0.0     0.5124933
0.001     0.0     0.0     0.49973306
0.002     0.0     0.0     0.48720503
0.003     0.0     0.0     0.47368497
0.004     0.0     0.0     0.46049777
0.005     0.0     0.0     0.44749233
0.006     0.0     0.0     0.43423688
0.007     0.0     0.0     0.42144543
0.008     0.0     0.0     0.40897784
0.009     0.0     0.0     0.39623168
0.01     0.0     0.0     0.3826325
0.011     0.0     0.0     0.36860698
0.012     0.0     0.0     0.35460848
0.013     0.0     0.0     0.34061605
0.014     0.0     0.0     0.32460344
0.015     0.0     0.0     0.30871
0.016     0.0     0.0     0.29356307
0.017     0.0     0.0     0.27840832
0.018     0.0     0.0     0.26366708
0.019     0.0     0.0     0.24915445
0.02     0.0     0.0     0.23497136
0.021     0.0     0.0     0.22108513
0.022     0.0     0.0     0.20783582
0.023     0.0     0.0     0.19461161
0.024     0.0     0.0     0.18136908
0.025     0.0     0.0     0.16827641
0.026     0.0     0.0     0.1551304
0.027     0.0     0.0     0.14254053
0.028     0.0     0.0     0.13052206
0.029     0.0     0.0     0.11915846
0.03     0.0     0.0     0.10913016
