Inference results by NN model
strain parameters and last term is v1
strain_x    strain_y     strain_z     v1
-0.0     -0.03     -0.03     0.3441018
-0.0     -0.029     -0.029     0.3458022
-0.0     -0.028     -0.028     0.34773916
-0.0     -0.027     -0.027     0.3498387
-0.0     -0.026     -0.026     0.35216284
-0.0     -0.025     -0.025     0.3545587
-0.0     -0.024     -0.024     0.35699964
-0.0     -0.023     -0.023     0.35970622
-0.0     -0.022     -0.022     0.36246383
-0.0     -0.021     -0.021     0.36522222
-0.0     -0.02     -0.02     0.36827084
-0.0     -0.019     -0.019     0.3720476
-0.0     -0.018     -0.018     0.37636137
-0.0     -0.017     -0.017     0.38131177
-0.0     -0.016     -0.016     0.38675854
-0.0     -0.015     -0.015     0.393219
-0.0     -0.014     -0.014     0.39987487
-0.0     -0.013     -0.013     0.40622324
-0.0     -0.012     -0.012     0.41249323
-0.0     -0.011     -0.011     0.41875744
-0.0     -0.01     -0.01     0.42592078
-0.0     -0.009     -0.009     0.43219718
-0.0     -0.008     -0.008     0.43838578
-0.0     -0.007     -0.007     0.44467893
-0.0     -0.006     -0.006     0.45121795
-0.0     -0.005     -0.005     0.460963
-0.0     -0.004     -0.004     0.47311085
-0.0     -0.003     -0.003     0.48501188
-0.0     -0.002     -0.002     0.49447423
-0.0     -0.001     -0.001     0.50395304
0.0     0.0     0.0     0.5124933
0.0     0.001     0.001     0.52015907
0.0     0.002     0.002     0.5306748
0.0     0.003     0.003     0.53828293
0.0     0.004     0.004     0.5465979
0.0     0.005     0.005     0.55395854
0.0     0.006     0.006     0.5621538
0.0     0.007     0.007     0.56973207
0.0     0.008     0.008     0.5772021
0.0     0.009     0.009     0.5848714
0.0     0.01     0.01     0.59268
0.0     0.011     0.011     0.5996305
0.0     0.012     0.012     0.60578203
0.0     0.013     0.013     0.6117877
0.0     0.014     0.014     0.6177419
0.0     0.015     0.015     0.6246438
0.0     0.016     0.016     0.6320552
0.0     0.017     0.017     0.639866
0.0     0.018     0.018     0.6476556
0.0     0.019     0.019     0.6551793
0.0     0.02     0.02     0.66265655
0.0     0.021     0.021     0.67022943
0.0     0.022     0.022     0.67790127
0.0     0.023     0.023     0.6854498
0.0     0.024     0.024     0.693086
0.0     0.025     0.025     0.7007902
0.0     0.026     0.026     0.70860296
0.0     0.027     0.027     0.7163822
0.0     0.028     0.028     0.7241989
0.0     0.029     0.029     0.7320306
0.0     0.03     0.03     0.7398871
