Inference results by NN model
strain parameters and last term is v2
strain_x    strain_y     strain_z     v2
-0.03     -0.03     -0.0     0.40075153
-0.029     -0.029     -0.0     0.40147918
-0.028     -0.028     -0.0     0.4028548
-0.027     -0.027     -0.0     0.40467417
-0.026     -0.026     -0.0     0.40654528
-0.025     -0.025     -0.0     0.40884072
-0.024     -0.024     -0.0     0.41125268
-0.023     -0.023     -0.0     0.41370368
-0.022     -0.022     -0.0     0.41650876
-0.021     -0.021     -0.0     0.4194416
-0.02     -0.02     -0.0     0.4222933
-0.019     -0.019     -0.0     0.42498374
-0.018     -0.018     -0.0     0.42768413
-0.017     -0.017     -0.0     0.43042415
-0.016     -0.016     -0.0     0.43314356
-0.015     -0.015     -0.0     0.43583935
-0.014     -0.014     -0.0     0.43877977
-0.013     -0.013     -0.0     0.44136888
-0.012     -0.012     -0.0     0.4436677
-0.011     -0.011     -0.0     0.44577843
-0.01     -0.01     -0.0     0.44751906
-0.009     -0.009     -0.0     0.45041633
-0.008     -0.008     -0.0     0.45405233
-0.007     -0.007     -0.0     0.45685166
-0.006     -0.006     -0.0     0.45837486
-0.005     -0.005     -0.0     0.45848852
-0.004     -0.004     -0.0     0.4591626
-0.003     -0.003     -0.0     0.45992398
-0.002     -0.002     -0.0     0.46139723
-0.001     -0.001     -0.0     0.4639972
0.0     0.0     0.0     0.46726394
0.001     0.001     0.0     0.46627623
0.002     0.002     0.0     0.46569985
0.003     0.003     0.0     0.46530342
0.004     0.004     0.0     0.4638313
0.005     0.005     0.0     0.4624958
0.006     0.006     0.0     0.4619243
0.007     0.007     0.0     0.46236974
0.008     0.008     0.0     0.46242726
0.009     0.009     0.0     0.46143627
0.01     0.01     0.0     0.4593792
0.011     0.011     0.0     0.4573589
0.012     0.012     0.0     0.4554218
0.013     0.013     0.0     0.45427626
0.014     0.014     0.0     0.45313227
0.015     0.015     0.0     0.45099157
0.016     0.016     0.0     0.44865626
0.017     0.017     0.0     0.44678915
0.018     0.018     0.0     0.44490528
0.019     0.019     0.0     0.44324088
0.02     0.02     0.0     0.44196993
0.021     0.021     0.0     0.44093126
0.022     0.022     0.0     0.44008216
0.023     0.023     0.0     0.43955564
0.024     0.024     0.0     0.43933117
0.025     0.025     0.0     0.4393564
0.026     0.026     0.0     0.43959385
0.027     0.027     0.0     0.44023883
0.028     0.028     0.0     0.44083977
0.029     0.029     0.0     0.44166553
0.03     0.03     0.0     0.4427055
