Inference results by NN model
strain parameters and last term is v5
strain_x    strain_y     strain_z     v5
-0.0     -0.03     -0.0     0.4807111
-0.0     -0.029     -0.0     0.4802696
-0.0     -0.028     -0.0     0.4799278
-0.0     -0.027     -0.0     0.47961432
-0.0     -0.026     -0.0     0.47922924
-0.0     -0.025     -0.0     0.47880858
-0.0     -0.024     -0.0     0.47842938
-0.0     -0.023     -0.0     0.47810227
-0.0     -0.022     -0.0     0.4779443
-0.0     -0.021     -0.0     0.4778971
-0.0     -0.02     -0.0     0.47790807
-0.0     -0.019     -0.0     0.47802335
-0.0     -0.018     -0.0     0.47835088
-0.0     -0.017     -0.0     0.47896668
-0.0     -0.016     -0.0     0.4794809
-0.0     -0.015     -0.0     0.48022196
-0.0     -0.014     -0.0     0.48134732
-0.0     -0.013     -0.0     0.48294872
-0.0     -0.012     -0.0     0.48420933
-0.0     -0.011     -0.0     0.48510063
-0.0     -0.01     -0.0     0.48641074
-0.0     -0.009     -0.0     0.4878878
-0.0     -0.008     -0.0     0.48978704
-0.0     -0.007     -0.0     0.4916647
-0.0     -0.006     -0.0     0.494193
-0.0     -0.005     -0.0     0.4970215
-0.0     -0.004     -0.0     0.49985772
-0.0     -0.003     -0.0     0.5019422
-0.0     -0.002     -0.0     0.50367284
-0.0     -0.001     -0.0     0.5051841
0.0     0.0     0.0     0.5063957
0.0     0.001     0.0     0.5074389
0.0     0.002     0.0     0.5086322
0.0     0.003     0.0     0.50974905
0.0     0.004     0.0     0.51064855
0.0     0.005     0.0     0.5118124
0.0     0.006     0.0     0.51298654
0.0     0.007     0.0     0.51434386
0.0     0.008     0.0     0.516126
0.0     0.009     0.0     0.5180562
0.0     0.01     0.0     0.5199735
0.0     0.011     0.0     0.5222365
0.0     0.012     0.0     0.5237266
0.0     0.013     0.0     0.5247895
0.0     0.014     0.0     0.52561516
0.0     0.015     0.0     0.5268582
0.0     0.016     0.0     0.5282578
0.0     0.017     0.0     0.5298036
0.0     0.018     0.0     0.5315156
0.0     0.019     0.0     0.5333067
0.0     0.02     0.0     0.5352013
0.0     0.021     0.0     0.5373776
0.0     0.022     0.0     0.53989124
0.0     0.023     0.0     0.5422103
0.0     0.024     0.0     0.5444567
0.0     0.025     0.0     0.5467937
0.0     0.026     0.0     0.54919684
0.0     0.027     0.0     0.5516995
0.0     0.028     0.0     0.55438995
0.0     0.029     0.0     0.55723494
0.0     0.03     0.0     0.5600346
