Inference results by NN model
strain parameters and last term is v6
strain_x    strain_y     strain_z     v6
-0.0     -0.0     -0.03     0.8179496
-0.0     -0.0     -0.029     0.8105259
-0.0     -0.0     -0.028     0.80314004
-0.0     -0.0     -0.027     0.79595876
-0.0     -0.0     -0.026     0.78868276
-0.0     -0.0     -0.025     0.7813659
-0.0     -0.0     -0.024     0.7740974
-0.0     -0.0     -0.023     0.76666605
-0.0     -0.0     -0.022     0.7593013
-0.0     -0.0     -0.021     0.7519315
-0.0     -0.0     -0.02     0.74473655
-0.0     -0.0     -0.019     0.73763514
-0.0     -0.0     -0.018     0.7304677
-0.0     -0.0     -0.017     0.72328377
-0.0     -0.0     -0.016     0.71632445
-0.0     -0.0     -0.015     0.7093383
-0.0     -0.0     -0.014     0.70240325
-0.0     -0.0     -0.013     0.69461656
-0.0     -0.0     -0.012     0.68584216
-0.0     -0.0     -0.011     0.67675567
-0.0     -0.0     -0.01     0.6679888
-0.0     -0.0     -0.009     0.6594605
-0.0     -0.0     -0.008     0.65086657
-0.0     -0.0     -0.007     0.6420005
-0.0     -0.0     -0.006     0.6324756
-0.0     -0.0     -0.005     0.6230676
-0.0     -0.0     -0.004     0.6144664
-0.0     -0.0     -0.003     0.60610116
-0.0     -0.0     -0.002     0.59763306
-0.0     -0.0     -0.001     0.58825487
0.0     0.0     0.0     0.57915604
0.0     0.0     0.001     0.57114446
0.0     0.0     0.002     0.5629051
0.0     0.0     0.003     0.55425376
0.0     0.0     0.004     0.54433715
0.0     0.0     0.005     0.53491616
0.0     0.0     0.006     0.5265368
0.0     0.0     0.007     0.51783204
0.0     0.0     0.008     0.5082344
0.0     0.0     0.009     0.49849707
0.0     0.0     0.01     0.48873612
0.0     0.0     0.011     0.47851107
0.0     0.0     0.012     0.46803534
0.0     0.0     0.013     0.45786428
0.0     0.0     0.014     0.44737083
0.0     0.0     0.015     0.43732423
0.0     0.0     0.016     0.42695796
0.0     0.0     0.017     0.41595948
0.0     0.0     0.018     0.40443563
0.0     0.0     0.019     0.39353913
0.0     0.0     0.02     0.38324505
0.0     0.0     0.021     0.37294453
0.0     0.0     0.022     0.36275175
0.0     0.0     0.023     0.35266033
0.0     0.0     0.024     0.34287235
0.0     0.0     0.025     0.33337703
0.0     0.0     0.026     0.323998
0.0     0.0     0.027     0.31468162
0.0     0.0     0.028     0.30552813
0.0     0.0     0.029     0.29699036
0.0     0.0     0.03     0.28883713
