Inference results by NN model
strain parameters and last term is v5
strain_x    strain_y     strain_z     v5
-0.03     -0.03     -0.03     0.6342151
-0.029     -0.029     -0.029     0.6282457
-0.028     -0.028     -0.028     0.6223434
-0.027     -0.027     -0.027     0.61646867
-0.026     -0.026     -0.026     0.6106876
-0.025     -0.025     -0.025     0.60505927
-0.024     -0.024     -0.024     0.5996573
-0.023     -0.023     -0.023     0.5944197
-0.022     -0.022     -0.022     0.58913636
-0.021     -0.021     -0.021     0.5835234
-0.02     -0.02     -0.02     0.57817185
-0.019     -0.019     -0.019     0.5733832
-0.018     -0.018     -0.018     0.5693079
-0.017     -0.017     -0.017     0.5656522
-0.016     -0.016     -0.016     0.561975
-0.015     -0.015     -0.015     0.5584425
-0.014     -0.014     -0.014     0.55508375
-0.013     -0.013     -0.013     0.55201995
-0.012     -0.012     -0.012     0.5491814
-0.011     -0.011     -0.011     0.5463909
-0.01     -0.01     -0.01     0.54341
-0.009     -0.009     -0.009     0.540253
-0.008     -0.008     -0.008     0.5372062
-0.007     -0.007     -0.007     0.5338
-0.006     -0.006     -0.006     0.5297787
-0.005     -0.005     -0.005     0.5255455
-0.004     -0.004     -0.004     0.52237815
-0.003     -0.003     -0.003     0.51829237
-0.002     -0.002     -0.002     0.51455516
-0.001     -0.001     -0.001     0.5110253
0.0     0.0     0.0     0.5055356
0.001     0.001     0.001     0.50142896
0.002     0.002     0.002     0.498235
0.003     0.003     0.003     0.4931917
0.004     0.004     0.004     0.48841333
0.005     0.005     0.005     0.48255688
0.006     0.006     0.006     0.47701508
0.007     0.007     0.007     0.47170627
0.008     0.008     0.008     0.46624815
0.009     0.009     0.009     0.46097866
0.01     0.01     0.01     0.4556585
0.011     0.011     0.011     0.45031756
0.012     0.012     0.012     0.44441658
0.013     0.013     0.013     0.43894282
0.014     0.014     0.014     0.43398833
0.015     0.015     0.015     0.42965662
0.016     0.016     0.016     0.42584488
0.017     0.017     0.017     0.42224932
0.018     0.018     0.018     0.41874528
0.019     0.019     0.019     0.4151472
0.02     0.02     0.02     0.4131742
0.021     0.021     0.021     0.4136305
0.022     0.022     0.022     0.41526985
0.023     0.023     0.023     0.41728204
0.024     0.024     0.024     0.41940403
0.025     0.025     0.025     0.42162615
0.026     0.026     0.026     0.42381698
0.027     0.027     0.027     0.42624563
0.028     0.028     0.028     0.42904592
0.029     0.029     0.029     0.4320695
0.03     0.03     0.03     0.4351481
