Inference results by NN model
strain parameters and last term is v5
strain_x    strain_y     strain_z     v5
-0.03     -0.0     -0.03     0.6661041
-0.029     -0.0     -0.029     0.6590862
-0.028     -0.0     -0.028     0.6519965
-0.027     -0.0     -0.027     0.6449218
-0.026     -0.0     -0.026     0.6377224
-0.025     -0.0     -0.025     0.6305988
-0.024     -0.0     -0.024     0.6236689
-0.023     -0.0     -0.023     0.6168827
-0.022     -0.0     -0.022     0.6103457
-0.021     -0.0     -0.021     0.60394233
-0.02     -0.0     -0.02     0.597518
-0.019     -0.0     -0.019     0.59195113
-0.018     -0.0     -0.018     0.58673
-0.017     -0.0     -0.017     0.5819217
-0.016     -0.0     -0.016     0.5773896
-0.015     -0.0     -0.015     0.5733051
-0.014     -0.0     -0.014     0.5690129
-0.013     -0.0     -0.013     0.5647174
-0.012     -0.0     -0.012     0.5604358
-0.011     -0.0     -0.011     0.55649674
-0.01     -0.0     -0.01     0.5528752
-0.009     -0.0     -0.009     0.54872715
-0.008     -0.0     -0.008     0.5444313
-0.007     -0.0     -0.007     0.5399318
-0.006     -0.0     -0.006     0.53635824
-0.005     -0.0     -0.005     0.5329874
-0.004     -0.0     -0.004     0.5275101
-0.003     -0.0     -0.003     0.52219146
-0.002     -0.0     -0.002     0.51722735
-0.001     -0.0     -0.001     0.5116071
0.0     0.0     0.0     0.5055356
0.001     0.0     0.001     0.4986212
0.002     0.0     0.002     0.49254856
0.003     0.0     0.003     0.48680377
0.004     0.0     0.004     0.48052475
0.005     0.0     0.005     0.4749636
0.006     0.0     0.006     0.46977314
0.007     0.0     0.007     0.46342582
0.008     0.0     0.008     0.45506334
0.009     0.0     0.009     0.44615784
0.01     0.0     0.01     0.43684536
0.011     0.0     0.011     0.4270518
0.012     0.0     0.012     0.41774112
0.013     0.0     0.013     0.40911072
0.014     0.0     0.014     0.40126756
0.015     0.0     0.015     0.39440688
0.016     0.0     0.016     0.38819504
0.017     0.0     0.017     0.38284785
0.018     0.0     0.018     0.37827563
0.019     0.0     0.019     0.37613034
0.02     0.0     0.02     0.37515107
0.021     0.0     0.021     0.3741601
0.022     0.0     0.022     0.37356067
0.023     0.0     0.023     0.3733377
0.024     0.0     0.024     0.3732178
0.025     0.0     0.025     0.3734062
0.026     0.0     0.026     0.3738202
0.027     0.0     0.027     0.3744043
0.028     0.0     0.028     0.37502146
0.029     0.0     0.029     0.37586173
0.03     0.0     0.03     0.37698746
