Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.02   -0.02   -0.02  -0.39575815
-0.02   -0.02   -0.019  -0.39383185
-0.02   -0.02   -0.018  -0.39176995
-0.02   -0.02   -0.017  -0.38997513
-0.02   -0.02   -0.016  -0.38840157
-0.02   -0.02   -0.015  -0.38685322
-0.02   -0.02   -0.014  -0.3853333
-0.02   -0.02   -0.013  -0.38369244
-0.02   -0.02   -0.012  -0.38201433
-0.02   -0.02   -0.011  -0.38031936
-0.02   -0.02   -0.01  -0.3783819
-0.02   -0.02   -0.009  -0.3765447
-0.02   -0.02   -0.008  -0.37454382
-0.02   -0.02   -0.007  -0.37254733
-0.02   -0.02   -0.006  -0.37094718
-0.02   -0.02   -0.005  -0.3695485
-0.02   -0.02   -0.004  -0.36815614
-0.02   -0.02   -0.003  -0.36727017
-0.02   -0.02   -0.002  -0.36675578
-0.02   -0.02   -0.001  -0.36628455
-0.02   -0.02   0.0  -0.36565298
-0.02   -0.02   0.001  -0.3650282
-0.02   -0.02   0.002  -0.3647692
-0.02   -0.02   0.003  -0.36456668
-0.02   -0.02   0.004  -0.36422884
-0.02   -0.02   0.005  -0.3637429
-0.02   -0.02   0.006  -0.36346972
-0.02   -0.02   0.007  -0.36322254
-0.02   -0.02   0.008  -0.3629824
-0.02   -0.02   0.009  -0.36275536
-0.02   -0.02   0.01  -0.36239582
-0.02   -0.02   0.011  -0.3620215
-0.02   -0.02   0.012  -0.36171266
-0.02   -0.02   0.013  -0.36158064
-0.02   -0.02   0.014  -0.36159265
-0.02   -0.02   0.015  -0.36183357
-0.02   -0.02   0.016  -0.36235344
-0.02   -0.02   0.017  -0.36297137
-0.02   -0.02   0.018  -0.36344218
-0.02   -0.02   0.019  -0.363935
-0.019   -0.02   -0.02  -0.39555928
-0.019   -0.02   -0.019  -0.39342934
-0.019   -0.02   -0.018  -0.3914488
-0.019   -0.02   -0.017  -0.38973153
-0.019   -0.02   -0.016  -0.38810366
-0.019   -0.02   -0.015  -0.3865205
-0.019   -0.02   -0.014  -0.38506183
-0.019   -0.02   -0.013  -0.38357943
-0.019   -0.02   -0.012  -0.3819428
-0.019   -0.02   -0.011  -0.38041067
-0.019   -0.02   -0.01  -0.37863678
-0.019   -0.02   -0.009  -0.37662965
-0.019   -0.02   -0.008  -0.37463802
-0.019   -0.02   -0.007  -0.3725338
-0.019   -0.02   -0.006  -0.37087885
-0.019   -0.02   -0.005  -0.3692031
-0.019   -0.02   -0.004  -0.36772206
-0.019   -0.02   -0.003  -0.36692992
-0.019   -0.02   -0.002  -0.36625254
-0.019   -0.02   -0.001  -0.36592984
-0.019   -0.02   0.0  -0.365416
-0.019   -0.02   0.001  -0.36496967
-0.019   -0.02   0.002  -0.3647352
-0.019   -0.02   0.003  -0.3645435
-0.019   -0.02   0.004  -0.363877
-0.019   -0.02   0.005  -0.36332083
-0.019   -0.02   0.006  -0.36295128
-0.019   -0.02   0.007  -0.36231238
-0.019   -0.02   0.008  -0.3620764
-0.019   -0.02   0.009  -0.3619755
-0.019   -0.02   0.01  -0.36174285
-0.019   -0.02   0.011  -0.3613227
-0.019   -0.02   0.012  -0.36128372
-0.019   -0.02   0.013  -0.36140078
-0.019   -0.02   0.014  -0.36132896
-0.019   -0.02   0.015  -0.3614467
-0.019   -0.02   0.016  -0.36179
-0.019   -0.02   0.017  -0.36232406
-0.019   -0.02   0.018  -0.36295137
-0.019   -0.02   0.019  -0.3632729
-0.018   -0.02   -0.02  -0.39539266
-0.018   -0.02   -0.019  -0.39334673
-0.018   -0.02   -0.018  -0.39123654
-0.018   -0.02   -0.017  -0.3893516
-0.018   -0.02   -0.016  -0.38774288
-0.018   -0.02   -0.015  -0.38639224
-0.018   -0.02   -0.014  -0.38492167
-0.018   -0.02   -0.013  -0.3834135
-0.018   -0.02   -0.012  -0.38182187
-0.018   -0.02   -0.011  -0.38031507
-0.018   -0.02   -0.01  -0.37868178
-0.018   -0.02   -0.009  -0.37677085
-0.018   -0.02   -0.008  -0.37465936
-0.018   -0.02   -0.007  -0.3725565
-0.018   -0.02   -0.006  -0.37081754
-0.018   -0.02   -0.005  -0.36893475
-0.018   -0.02   -0.004  -0.3674044
-0.018   -0.02   -0.003  -0.3665861
-0.018   -0.02   -0.002  -0.36582303
-0.018   -0.02   -0.001  -0.36535126
-0.018   -0.02   0.0  -0.36487782
-0.018   -0.02   0.001  -0.36478966
-0.018   -0.02   0.002  -0.36464453
-0.018   -0.02   0.003  -0.36416858
-0.018   -0.02   0.004  -0.3635322
