Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v5
strin_x    strain_y    strain_z    v5
-0.02   -0.02   -0.02  0.7673729
-0.02   -0.02   -0.019  0.76967347
-0.02   -0.02   -0.018  0.7719935
-0.02   -0.02   -0.017  0.7752638
-0.02   -0.02   -0.016  0.77905166
-0.02   -0.02   -0.015  0.78309965
-0.02   -0.02   -0.014  0.7870789
-0.02   -0.02   -0.013  0.79170275
-0.02   -0.02   -0.012  0.7959753
-0.02   -0.02   -0.011  0.79973125
-0.02   -0.02   -0.01  0.80288553
-0.02   -0.02   -0.009  0.806231
-0.02   -0.02   -0.008  0.81002176
-0.02   -0.02   -0.007  0.8139254
-0.02   -0.02   -0.006  0.81801593
-0.02   -0.02   -0.005  0.82184374
-0.02   -0.02   -0.004  0.8256018
-0.02   -0.02   -0.003  0.8281586
-0.02   -0.02   -0.002  0.8307686
-0.02   -0.02   -0.001  0.83399284
-0.02   -0.02   0.0  0.8383447
-0.02   -0.02   0.001  0.84293675
-0.02   -0.02   0.002  0.8488506
-0.02   -0.02   0.003  0.8556006
-0.02   -0.02   0.004  0.86237943
-0.02   -0.02   0.005  0.8698777
-0.02   -0.02   0.006  0.8779557
-0.02   -0.02   0.007  0.8861675
-0.02   -0.02   0.008  0.8932984
-0.02   -0.02   0.009  0.9000945
-0.02   -0.02   0.01  0.9063952
-0.02   -0.02   0.011  0.91297865
-0.02   -0.02   0.012  0.9195651
-0.02   -0.02   0.013  0.9257717
-0.02   -0.02   0.014  0.9320117
-0.02   -0.02   0.015  0.93772364
-0.02   -0.02   0.016  0.9435358
-0.02   -0.02   0.017  0.94998133
-0.02   -0.02   0.018  0.95566463
-0.02   -0.02   0.019  0.961413
-0.019   -0.02   -0.02  0.7654302
-0.019   -0.02   -0.019  0.76817507
-0.019   -0.02   -0.018  0.7711823
-0.019   -0.02   -0.017  0.7746829
-0.019   -0.02   -0.016  0.7785369
-0.019   -0.02   -0.015  0.78311133
-0.019   -0.02   -0.014  0.78734016
-0.019   -0.02   -0.013  0.7918812
-0.019   -0.02   -0.012  0.7964294
-0.019   -0.02   -0.011  0.8001206
-0.019   -0.02   -0.01  0.80360293
-0.019   -0.02   -0.009  0.8070071
-0.019   -0.02   -0.008  0.8108971
-0.019   -0.02   -0.007  0.8151133
-0.019   -0.02   -0.006  0.8194878
-0.019   -0.02   -0.005  0.8240324
-0.019   -0.02   -0.004  0.8280113
-0.019   -0.02   -0.003  0.83116126
-0.019   -0.02   -0.002  0.83358026
-0.019   -0.02   -0.001  0.8366786
-0.019   -0.02   0.0  0.8403946
-0.019   -0.02   0.001  0.84498155
-0.019   -0.02   0.002  0.85073996
-0.019   -0.02   0.003  0.8571389
-0.019   -0.02   0.004  0.8638823
-0.019   -0.02   0.005  0.8715391
-0.019   -0.02   0.006  0.87990856
-0.019   -0.02   0.007  0.8875905
-0.019   -0.02   0.008  0.8948196
-0.019   -0.02   0.009  0.90146005
-0.019   -0.02   0.01  0.9077445
-0.019   -0.02   0.011  0.913818
-0.019   -0.02   0.012  0.91955256
-0.019   -0.02   0.013  0.9254466
-0.019   -0.02   0.014  0.9313407
-0.019   -0.02   0.015  0.9368967
-0.019   -0.02   0.016  0.94304943
-0.019   -0.02   0.017  0.94895303
-0.019   -0.02   0.018  0.9543929
-0.019   -0.02   0.019  0.9600465
-0.018   -0.02   -0.02  0.76476145
-0.018   -0.02   -0.019  0.7673814
-0.018   -0.02   -0.018  0.770683
-0.018   -0.02   -0.017  0.77435267
-0.018   -0.02   -0.016  0.77813065
