Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.02   -0.02   -0.02  0.59803224
-0.02   -0.02   -0.019  0.5898262
-0.02   -0.02   -0.018  0.581045
-0.02   -0.02   -0.017  0.57213444
-0.02   -0.02   -0.016  0.56300884
-0.02   -0.02   -0.015  0.55401474
-0.02   -0.02   -0.014  0.54547215
-0.02   -0.02   -0.013  0.5375926
-0.02   -0.02   -0.012  0.5295794
-0.02   -0.02   -0.011  0.52039725
-0.02   -0.02   -0.01  0.5105646
-0.02   -0.02   -0.009  0.5006904
-0.02   -0.02   -0.008  0.4909255
-0.02   -0.02   -0.007  0.48122984
-0.02   -0.02   -0.006  0.4728753
-0.02   -0.02   -0.005  0.4646207
-0.02   -0.02   -0.004  0.45618415
-0.02   -0.02   -0.003  0.44790024
-0.02   -0.02   -0.002  0.4398443
-0.02   -0.02   -0.001  0.43238935
-0.02   -0.02   0.0  0.42593855
-0.02   -0.02   0.001  0.42007494
-0.02   -0.02   0.002  0.4149161
-0.02   -0.02   0.003  0.41058376
-0.02   -0.02   0.004  0.40721342
-0.02   -0.02   0.005  0.40373975
-0.02   -0.02   0.006  0.39923728
-0.02   -0.02   0.007  0.39357156
-0.02   -0.02   0.008  0.38848066
-0.02   -0.02   0.009  0.38406396
-0.02   -0.02   0.01  0.37926054
-0.02   -0.02   0.011  0.3738308
-0.02   -0.02   0.012  0.36797404
-0.02   -0.02   0.013  0.36206025
-0.02   -0.02   0.014  0.35596514
-0.02   -0.02   0.015  0.35000205
-0.02   -0.02   0.016  0.34473848
-0.02   -0.02   0.017  0.3400054
-0.02   -0.02   0.018  0.33538896
-0.02   -0.02   0.019  0.33078784
-0.019   -0.02   -0.02  0.59364647
-0.019   -0.02   -0.019  0.5853473
-0.019   -0.02   -0.018  0.5767338
-0.019   -0.02   -0.017  0.567686
-0.019   -0.02   -0.016  0.55867684
-0.019   -0.02   -0.015  0.54963654
-0.019   -0.02   -0.014  0.54130775
-0.019   -0.02   -0.013  0.5332698
-0.019   -0.02   -0.012  0.52526426
-0.019   -0.02   -0.011  0.5165908
-0.019   -0.02   -0.01  0.507203
-0.019   -0.02   -0.009  0.49721396
-0.019   -0.02   -0.008  0.48731947
-0.019   -0.02   -0.007  0.47775823
