Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v1
strin_x    strain_y    strain_z    v1
-0.03   -0.0   -0.0  0.7778217
-0.03   -0.0   -0.0  0.7697189
-0.03   -0.0   -0.0  0.7616868
-0.03   -0.0   -0.0  0.75359774
-0.03   -0.0   -0.0  0.74550724
-0.03   -0.0   -0.0  0.73738194
-0.03   -0.0   -0.0  0.729383
-0.03   -0.0   -0.0  0.7213139
-0.03   -0.0   -0.0  0.71326876
-0.03   -0.0   -0.0  0.7054888
-0.03   -0.0   -0.0  0.69799125
-0.03   -0.0   -0.0  0.6906383
-0.03   -0.0   -0.0  0.68330085
-0.03   -0.0   -0.0  0.6757164
-0.03   -0.0   -0.0  0.6679598
-0.03   -0.0   -0.0  0.6601371
-0.03   -0.0   -0.0  0.65211576
-0.03   -0.0   -0.0  0.6439133
-0.03   -0.0   -0.0  0.6355785
-0.03   -0.0   -0.0  0.6273054
-0.03   -0.0   -0.0  0.61771935
-0.03   -0.0   -0.0  0.60771716
-0.03   -0.0   -0.0  0.5985825
-0.03   -0.0   -0.0  0.5898374
-0.03   -0.0   -0.0  0.58079267
-0.03   -0.0   -0.0  0.5719477
-0.03   -0.0   -0.0  0.56261736
-0.03   -0.0   -0.0  0.55200946
-0.03   -0.0   -0.0  0.5399886
-0.03   -0.0   -0.0  0.52700263
-0.03   -0.0   -0.0  0.5141309
-0.03   -0.0   -0.0  0.5016929
-0.03   -0.0   -0.0  0.4891308
-0.03   -0.0   -0.0  0.4763204
-0.03   -0.0   -0.0  0.46300328
-0.03   -0.0   -0.0  0.44925636
-0.03   -0.0   -0.0  0.43455893
-0.03   -0.0   -0.0  0.41915128
-0.03   -0.0   -0.0  0.40349293
-0.03   -0.0   -0.0  0.38741702
-0.03   -0.0   -0.0  0.37068784
-0.03   -0.0   -0.0  0.35420507
-0.03   -0.0   -0.0  0.33827868
-0.03   -0.0   -0.0  0.32378897
-0.03   -0.0   -0.0  0.31020525
-0.03   -0.0   -0.0  0.29729548
-0.03   -0.0   -0.0  0.2837646
-0.03   -0.0   -0.0  0.2705191
-0.03   -0.0   -0.0  0.25785494
-0.03   -0.0   -0.0  0.24583453
-0.03   -0.0   -0.0  0.234059
-0.03   -0.0   -0.0  0.22260098
-0.03   -0.0   -0.0  0.21173312
-0.03   -0.0   -0.0  0.20143673
-0.03   -0.0   -0.0  0.19193932
-0.03   -0.0   -0.0  0.18287098
-0.03   -0.0   -0.0  0.1745446
-0.03   -0.0   -0.0  0.16676986
-0.03   -0.0   -0.0  0.15948181
-0.03   -0.0   -0.0  0.15278707
-0.03   -0.0   -0.0  0.1467205
