Inference results by NN model
strain parameters and last term is v3
strain_x    strain_y     strain_z     v3
-0.03     -0.0     -0.0     -0.32996857
-0.029     -0.0     -0.0     -0.32924354
-0.028     -0.0     -0.0     -0.32864106
-0.027     -0.0     -0.0     -0.3280571
-0.026     -0.0     -0.0     -0.32749653
-0.025     -0.0     -0.0     -0.3268207
-0.024     -0.0     -0.0     -0.32604754
-0.023     -0.0     -0.0     -0.32517487
-0.022     -0.0     -0.0     -0.3240893
-0.021     -0.0     -0.0     -0.322787
-0.02     -0.0     -0.0     -0.32145506
-0.019     -0.0     -0.0     -0.32029366
-0.018     -0.0     -0.0     -0.31893617
-0.017     -0.0     -0.0     -0.31747955
-0.016     -0.0     -0.0     -0.31608698
-0.015     -0.0     -0.0     -0.31454062
-0.014     -0.0     -0.0     -0.31324866
-0.013     -0.0     -0.0     -0.31188965
-0.012     -0.0     -0.0     -0.3107943
-0.011     -0.0     -0.0     -0.31023043
-0.01     -0.0     -0.0     -0.3106404
-0.009     -0.0     -0.0     -0.31125236
-0.008     -0.0     -0.0     -0.31193593
-0.007     -0.0     -0.0     -0.31224418
-0.006     -0.0     -0.0     -0.31258076
-0.005     -0.0     -0.0     -0.3133433
-0.004     -0.0     -0.0     -0.31530547
-0.003     -0.0     -0.0     -0.3171367
-0.002     -0.0     -0.0     -0.3184771
-0.001     -0.0     -0.0     -0.3201419
0.0     0.0     0.0     -0.32251433
0.001     0.0     0.0     -0.3233307
0.002     0.0     0.0     -0.3241393
0.003     0.0     0.0     -0.3249398
0.004     0.0     0.0     -0.3259952
0.005     0.0     0.0     -0.3280789
0.006     0.0     0.0     -0.3298219
0.007     0.0     0.0     -0.33089352
0.008     0.0     0.0     -0.33132905
0.009     0.0     0.0     -0.3323512
0.01     0.0     0.0     -0.33431324
0.011     0.0     0.0     -0.3362422
0.012     0.0     0.0     -0.33799773
0.013     0.0     0.0     -0.33963785
0.014     0.0     0.0     -0.3415602
0.015     0.0     0.0     -0.34371674
0.016     0.0     0.0     -0.34564602
0.017     0.0     0.0     -0.34737924
0.018     0.0     0.0     -0.34936124
0.019     0.0     0.0     -0.3514896
0.02     0.0     0.0     -0.3536138
0.021     0.0     0.0     -0.35579658
0.022     0.0     0.0     -0.3581094
0.023     0.0     0.0     -0.36054915
0.024     0.0     0.0     -0.36289436
0.025     0.0     0.0     -0.36515546
0.026     0.0     0.0     -0.36740363
0.027     0.0     0.0     -0.36954862
0.028     0.0     0.0     -0.37180865
0.029     0.0     0.0     -0.3741216
0.03     0.0     0.0     -0.3763048
