Inference results by NN model
strain parameters and last term is v3
strain_x    strain_y     strain_z     v3
-0.03     -0.03     -0.03     -0.45649296
-0.029     -0.029     -0.029     -0.45126784
-0.028     -0.028     -0.028     -0.44602674
-0.027     -0.027     -0.027     -0.44087124
-0.026     -0.026     -0.026     -0.43566525
-0.025     -0.025     -0.025     -0.43051088
-0.024     -0.024     -0.024     -0.4253348
-0.023     -0.023     -0.023     -0.4201725
-0.022     -0.022     -0.022     -0.4150818
-0.021     -0.021     -0.021     -0.40997648
-0.02     -0.02     -0.02     -0.4048844
-0.019     -0.019     -0.019     -0.39973873
-0.018     -0.018     -0.018     -0.3945027
-0.017     -0.017     -0.017     -0.389319
-0.016     -0.016     -0.016     -0.38431373
-0.015     -0.015     -0.015     -0.37945235
-0.014     -0.014     -0.014     -0.37496656
-0.013     -0.013     -0.013     -0.3705691
-0.012     -0.012     -0.012     -0.36656737
-0.011     -0.011     -0.011     -0.36290812
-0.01     -0.01     -0.01     -0.35943753
-0.009     -0.009     -0.009     -0.35610896
-0.008     -0.008     -0.008     -0.35267365
-0.007     -0.007     -0.007     -0.34911737
-0.006     -0.006     -0.006     -0.34493983
-0.005     -0.005     -0.005     -0.34119534
-0.004     -0.004     -0.004     -0.3379262
-0.003     -0.003     -0.003     -0.33387524
-0.002     -0.002     -0.002     -0.3305127
-0.001     -0.001     -0.001     -0.32634312
0.0     0.0     0.0     -0.32251433
0.001     0.001     0.001     -0.3164643
0.002     0.002     0.002     -0.30981645
0.003     0.003     0.003     -0.30374146
0.004     0.004     0.004     -0.29721862
0.005     0.005     0.005     -0.29091388
0.006     0.006     0.006     -0.28475755
0.007     0.007     0.007     -0.27810282
0.008     0.008     0.008     -0.271231
0.009     0.009     0.009     -0.26469493
0.01     0.01     0.01     -0.25913674
0.011     0.011     0.011     -0.25388408
0.012     0.012     0.012     -0.24911872
0.013     0.013     0.013     -0.24462259
0.014     0.014     0.014     -0.24039547
0.015     0.015     0.015     -0.23698348
0.016     0.016     0.016     -0.23400053
0.017     0.017     0.017     -0.23144132
0.018     0.018     0.018     -0.22900963
0.019     0.019     0.019     -0.22674397
0.02     0.02     0.02     -0.225234
0.021     0.021     0.021     -0.22433552
0.022     0.022     0.022     -0.22362089
0.023     0.023     0.023     -0.22323665
0.024     0.024     0.024     -0.22296537
0.025     0.025     0.025     -0.22276108
0.026     0.026     0.026     -0.22266385
0.027     0.027     0.027     -0.22286767
0.028     0.028     0.028     -0.2232388
0.029     0.029     0.029     -0.22361547
0.03     0.03     0.03     -0.22389719
