Inference results by NN model
strain parameters and last term is v4
strain_x    strain_y     strain_z     v4
-0.0     -0.03     -0.03     0.8584941
-0.0     -0.029     -0.029     0.85014826
-0.0     -0.028     -0.028     0.84204775
-0.0     -0.027     -0.027     0.83401394
-0.0     -0.026     -0.026     0.82628614
-0.0     -0.025     -0.025     0.81896657
-0.0     -0.024     -0.024     0.8119596
-0.0     -0.023     -0.023     0.8051289
-0.0     -0.022     -0.022     0.79855865
-0.0     -0.021     -0.021     0.7922637
-0.0     -0.02     -0.02     0.7859439
-0.0     -0.019     -0.019     0.7794436
-0.0     -0.018     -0.018     0.77281475
-0.0     -0.017     -0.017     0.7662419
-0.0     -0.016     -0.016     0.7596801
-0.0     -0.015     -0.015     0.7534076
-0.0     -0.014     -0.014     0.74738294
-0.0     -0.013     -0.013     0.7412522
-0.0     -0.012     -0.012     0.7350191
-0.0     -0.011     -0.011     0.7288091
-0.0     -0.01     -0.01     0.7232998
-0.0     -0.009     -0.009     0.7183235
-0.0     -0.008     -0.008     0.7140801
-0.0     -0.007     -0.007     0.70979196
-0.0     -0.006     -0.006     0.7062696
-0.0     -0.005     -0.005     0.7031303
-0.0     -0.004     -0.004     0.69906974
-0.0     -0.003     -0.003     0.69459736
-0.0     -0.002     -0.002     0.69010055
-0.0     -0.001     -0.001     0.6862558
0.0     0.0     0.0     0.68241954
0.0     0.001     0.001     0.6771537
0.0     0.002     0.002     0.6707768
0.0     0.003     0.003     0.6643892
0.0     0.004     0.004     0.6586751
0.0     0.005     0.005     0.6518662
0.0     0.006     0.006     0.64674765
0.0     0.007     0.007     0.6440574
0.0     0.008     0.008     0.6428148
0.0     0.009     0.009     0.6405259
0.0     0.01     0.01     0.63818717
0.0     0.011     0.011     0.63564694
0.0     0.012     0.012     0.6334982
0.0     0.013     0.013     0.6318347
0.0     0.014     0.014     0.6308167
0.0     0.015     0.015     0.6308037
0.0     0.016     0.016     0.6312922
0.0     0.017     0.017     0.63218033
0.0     0.018     0.018     0.63334984
0.0     0.019     0.019     0.6346169
0.0     0.02     0.02     0.6364053
0.0     0.021     0.021     0.6386201
0.0     0.022     0.022     0.64098865
0.0     0.023     0.023     0.6438036
0.0     0.024     0.024     0.6468488
0.0     0.025     0.025     0.65003264
0.0     0.026     0.026     0.65346646
0.0     0.027     0.027     0.6568955
0.0     0.028     0.028     0.66066706
0.0     0.029     0.029     0.66459954
0.0     0.03     0.03     0.668627
