Inference results by NN model
strain parameters and last term is v5
strain_x    strain_y     strain_z     v5
-0.03     -0.03     -0.0     0.5330653
-0.029     -0.029     -0.0     0.53053427
-0.028     -0.028     -0.0     0.52812433
-0.027     -0.027     -0.0     0.52614784
-0.026     -0.026     -0.0     0.5241756
-0.025     -0.025     -0.0     0.5223306
-0.024     -0.024     -0.0     0.5207173
-0.023     -0.023     -0.0     0.5197844
-0.022     -0.022     -0.0     0.5190684
-0.021     -0.021     -0.0     0.5183681
-0.02     -0.02     -0.0     0.5175133
-0.019     -0.019     -0.0     0.5168114
-0.018     -0.018     -0.0     0.51619697
-0.017     -0.017     -0.0     0.51540744
-0.016     -0.016     -0.0     0.514826
-0.015     -0.015     -0.0     0.51397467
-0.014     -0.014     -0.0     0.51312447
-0.013     -0.013     -0.0     0.5122156
-0.012     -0.012     -0.0     0.5109952
-0.011     -0.011     -0.0     0.50971985
-0.01     -0.01     -0.0     0.5091743
-0.009     -0.009     -0.0     0.50841004
-0.008     -0.008     -0.0     0.508304
-0.007     -0.007     -0.0     0.5079021
-0.006     -0.006     -0.0     0.5071225
-0.005     -0.005     -0.0     0.50707686
-0.004     -0.004     -0.0     0.5080418
-0.003     -0.003     -0.0     0.50911933
-0.002     -0.002     -0.0     0.50863117
-0.001     -0.001     -0.0     0.50817615
0.0     0.0     0.0     0.5086755
0.001     0.001     0.0     0.5067021
0.002     0.002     0.0     0.50510985
0.003     0.003     0.0     0.5045463
0.004     0.004     0.0     0.50452095
0.005     0.005     0.0     0.5044559
0.006     0.006     0.0     0.5038717
0.007     0.007     0.0     0.5032843
0.008     0.008     0.0     0.5029538
0.009     0.009     0.0     0.50276345
0.01     0.01     0.0     0.5024553
0.011     0.011     0.0     0.5021023
0.012     0.012     0.0     0.50226
0.013     0.013     0.0     0.5028752
0.014     0.014     0.0     0.5032019
0.015     0.015     0.0     0.50366616
0.016     0.016     0.0     0.5046549
0.017     0.017     0.0     0.5061189
0.018     0.018     0.0     0.5081542
0.019     0.019     0.0     0.51080567
0.02     0.02     0.0     0.51383305
0.021     0.021     0.0     0.51689404
0.022     0.022     0.0     0.5200133
0.023     0.023     0.0     0.52296364
0.024     0.024     0.0     0.52578026
0.025     0.025     0.0     0.5284727
0.026     0.026     0.0     0.5310958
0.027     0.027     0.0     0.53386176
0.028     0.028     0.0     0.5367614
0.029     0.029     0.0     0.5398609
0.03     0.03     0.0     0.5430329
