Inference results by NN model
strain parameters and last term is v5
strain_x    strain_y     strain_z     v5
-0.03     -0.0     -0.03     0.6584612
-0.029     -0.0     -0.029     0.65192324
-0.028     -0.0     -0.028     0.64549035
-0.027     -0.0     -0.027     0.63911885
-0.026     -0.0     -0.026     0.63274485
-0.025     -0.0     -0.025     0.62631464
-0.024     -0.0     -0.024     0.6199902
-0.023     -0.0     -0.023     0.61397845
-0.022     -0.0     -0.022     0.608326
-0.021     -0.0     -0.021     0.6027631
-0.02     -0.0     -0.02     0.59741396
-0.019     -0.0     -0.019     0.5922418
-0.018     -0.0     -0.018     0.58726597
-0.017     -0.0     -0.017     0.58265984
-0.016     -0.0     -0.016     0.57803786
-0.015     -0.0     -0.015     0.5735687
-0.014     -0.0     -0.014     0.5694978
-0.013     -0.0     -0.013     0.5655751
-0.012     -0.0     -0.012     0.56157917
-0.011     -0.0     -0.011     0.557786
-0.01     -0.0     -0.01     0.5541852
-0.009     -0.0     -0.009     0.55008924
-0.008     -0.0     -0.008     0.5454868
-0.007     -0.0     -0.007     0.5400137
-0.006     -0.0     -0.006     0.5344774
-0.005     -0.0     -0.005     0.5290167
-0.004     -0.0     -0.004     0.52530015
-0.003     -0.0     -0.003     0.5222051
-0.002     -0.0     -0.002     0.51903576
-0.001     -0.0     -0.001     0.51494366
0.0     0.0     0.0     0.5086755
0.001     0.0     0.001     0.5004564
0.002     0.0     0.002     0.4920144
0.003     0.0     0.003     0.4847417
0.004     0.0     0.004     0.47807592
0.005     0.0     0.005     0.47139925
0.006     0.0     0.006     0.4650088
0.007     0.0     0.007     0.4577663
0.008     0.0     0.008     0.4495753
0.009     0.0     0.009     0.44130263
0.01     0.0     0.01     0.4333657
0.011     0.0     0.011     0.42579722
0.012     0.0     0.012     0.41865492
0.013     0.0     0.013     0.41175324
0.014     0.0     0.014     0.40531743
0.015     0.0     0.015     0.39965767
0.016     0.0     0.016     0.39488637
0.017     0.0     0.017     0.39087337
0.018     0.0     0.018     0.38728702
0.019     0.0     0.019     0.38372844
0.02     0.0     0.02     0.38046026
0.021     0.0     0.021     0.37851018
0.022     0.0     0.022     0.37681746
0.023     0.0     0.023     0.37521404
0.024     0.0     0.024     0.37365738
0.025     0.0     0.025     0.37204045
0.026     0.0     0.026     0.3706264
0.027     0.0     0.027     0.36951083
0.028     0.0     0.028     0.36859757
0.029     0.0     0.029     0.36795717
0.03     0.0     0.03     0.367451
