Inference results by NN model
strain parameters and last term is v5
strain_x    strain_y     strain_z     v5
-0.0     -0.0     -0.03     0.6402259
-0.0     -0.0     -0.029     0.6357286
-0.0     -0.0     -0.028     0.63135636
-0.0     -0.0     -0.027     0.6269007
-0.0     -0.0     -0.026     0.6221724
-0.0     -0.0     -0.025     0.6175936
-0.0     -0.0     -0.024     0.61322653
-0.0     -0.0     -0.023     0.60891753
-0.0     -0.0     -0.022     0.60455734
-0.0     -0.0     -0.021     0.59978175
-0.0     -0.0     -0.02     0.5949155
-0.0     -0.0     -0.019     0.5900468
-0.0     -0.0     -0.018     0.5852902
-0.0     -0.0     -0.017     0.5806593
-0.0     -0.0     -0.016     0.57575506
-0.0     -0.0     -0.015     0.5706075
-0.0     -0.0     -0.014     0.56535983
-0.0     -0.0     -0.013     0.55995667
-0.0     -0.0     -0.012     0.5548353
-0.0     -0.0     -0.011     0.55006695
-0.0     -0.0     -0.01     0.54580283
-0.0     -0.0     -0.009     0.54150194
-0.0     -0.0     -0.008     0.53679156
-0.0     -0.0     -0.007     0.5322666
-0.0     -0.0     -0.006     0.52907544
-0.0     -0.0     -0.005     0.5258956
-0.0     -0.0     -0.004     0.52304584
-0.0     -0.0     -0.003     0.519921
-0.0     -0.0     -0.002     0.5174465
-0.0     -0.0     -0.001     0.51354986
0.0     0.0     0.0     0.5086755
0.0     0.0     0.001     0.5033026
0.0     0.0     0.002     0.49856538
0.0     0.0     0.003     0.494155
0.0     0.0     0.004     0.48954904
0.0     0.0     0.005     0.48555017
0.0     0.0     0.006     0.48168552
0.0     0.0     0.007     0.47738564
0.0     0.0     0.008     0.4739383
0.0     0.0     0.009     0.47078133
0.0     0.0     0.01     0.46829438
0.0     0.0     0.011     0.4663943
0.0     0.0     0.012     0.4643466
0.0     0.0     0.013     0.4620329
0.0     0.0     0.014     0.45932877
0.0     0.0     0.015     0.45668635
0.0     0.0     0.016     0.45373625
0.0     0.0     0.017     0.4507993
0.0     0.0     0.018     0.44798467
0.0     0.0     0.019     0.4453928
0.0     0.0     0.02     0.44295722
0.0     0.0     0.021     0.4406095
0.0     0.0     0.022     0.43853468
0.0     0.0     0.023     0.43656224
0.0     0.0     0.024     0.43441987
0.0     0.0     0.025     0.43246973
0.0     0.0     0.026     0.43098682
0.0     0.0     0.027     0.4295131
0.0     0.0     0.028     0.42838672
0.0     0.0     0.029     0.4276109
0.0     0.0     0.03     0.42724353
