Inference results by NN model
strain parameters and last term is v6
strain_x    strain_y     strain_z     v6
-0.0     -0.03     -0.0     0.57007676
-0.0     -0.029     -0.0     0.5692936
-0.0     -0.028     -0.0     0.56848085
-0.0     -0.027     -0.0     0.56777304
-0.0     -0.026     -0.0     0.56718874
-0.0     -0.025     -0.0     0.56661224
-0.0     -0.024     -0.0     0.5660193
-0.0     -0.023     -0.0     0.56534535
-0.0     -0.022     -0.0     0.56490296
-0.0     -0.021     -0.0     0.56469846
-0.0     -0.02     -0.0     0.56461334
-0.0     -0.019     -0.0     0.5648869
-0.0     -0.018     -0.0     0.5652816
-0.0     -0.017     -0.0     0.565973
-0.0     -0.016     -0.0     0.56662714
-0.0     -0.015     -0.0     0.5671105
-0.0     -0.014     -0.0     0.5677461
-0.0     -0.013     -0.0     0.5686339
-0.0     -0.012     -0.0     0.56972945
-0.0     -0.011     -0.0     0.57073855
-0.0     -0.01     -0.0     0.5720499
-0.0     -0.009     -0.0     0.5735227
-0.0     -0.008     -0.0     0.57561874
-0.0     -0.007     -0.0     0.5777488
-0.0     -0.006     -0.0     0.5792425
-0.0     -0.005     -0.0     0.57991457
-0.0     -0.004     -0.0     0.58020914
-0.0     -0.003     -0.0     0.5800382
-0.0     -0.002     -0.0     0.5800122
-0.0     -0.001     -0.0     0.57970124
0.0     0.0     0.0     0.58033854
0.0     0.001     0.0     0.5818653
0.0     0.002     0.0     0.58312786
0.0     0.003     0.0     0.58389777
0.0     0.004     0.0     0.5842756
0.0     0.005     0.0     0.58327013
0.0     0.006     0.0     0.58199894
0.0     0.007     0.0     0.5800093
0.0     0.008     0.0     0.57783115
0.0     0.009     0.0     0.5752797
0.0     0.01     0.0     0.57242316
0.0     0.011     0.0     0.5703607
0.0     0.012     0.0     0.56900525
0.0     0.013     0.0     0.56834066
0.0     0.014     0.0     0.5675136
0.0     0.015     0.0     0.56706107
0.0     0.016     0.0     0.5672407
0.0     0.017     0.0     0.56774086
0.0     0.018     0.0     0.56815386
0.0     0.019     0.0     0.56841993
0.0     0.02     0.0     0.5693165
0.0     0.021     0.0     0.57074
0.0     0.022     0.0     0.5720407
0.0     0.023     0.0     0.57349
0.0     0.024     0.0     0.5750544
0.0     0.025     0.0     0.5767602
0.0     0.026     0.0     0.5785265
0.0     0.027     0.0     0.5801258
0.0     0.028     0.0     0.5817995
0.0     0.029     0.0     0.58381426
0.0     0.03     0.0     0.5861163
