Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v1
strin_x    strain_y    strain_z    v1
-0.02   -0.02   -0.02  0.5728267
-0.02   -0.02   -0.019  0.5734059
-0.02   -0.02   -0.018  0.57482797
-0.02   -0.02   -0.017  0.5765271
-0.02   -0.02   -0.016  0.5775166
-0.02   -0.02   -0.015  0.5785776
-0.02   -0.02   -0.014  0.5796804
-0.02   -0.02   -0.013  0.580608
-0.02   -0.02   -0.012  0.5818665
-0.02   -0.02   -0.011  0.5836932
-0.02   -0.02   -0.01  0.58475107
-0.02   -0.02   -0.009  0.5855287
-0.02   -0.02   -0.008  0.586393
-0.02   -0.02   -0.007  0.58769596
-0.02   -0.02   -0.006  0.58897305
-0.02   -0.02   -0.005  0.58986616
-0.02   -0.02   -0.004  0.59126055
-0.02   -0.02   -0.003  0.59302026
-0.02   -0.02   -0.002  0.5939838
-0.02   -0.02   -0.001  0.59510756
-0.02   -0.02   0.0  0.5965362
-0.02   -0.02   0.001  0.5980987
-0.02   -0.02   0.002  0.5996475
-0.02   -0.02   0.003  0.6011065
-0.02   -0.02   0.004  0.6020326
-0.02   -0.02   0.005  0.6026962
-0.02   -0.02   0.006  0.6035005
-0.02   -0.02   0.007  0.60495156
-0.02   -0.02   0.008  0.6065882
-0.02   -0.02   0.009  0.6086678
-0.02   -0.02   0.01  0.6110681
-0.02   -0.02   0.011  0.61306804
-0.02   -0.02   0.012  0.6151996
-0.02   -0.02   0.013  0.6173277
-0.02   -0.02   0.014  0.6194627
-0.02   -0.02   0.015  0.6217658
-0.02   -0.02   0.016  0.624402
-0.02   -0.02   0.017  0.62757003
-0.02   -0.02   0.018  0.6310677
-0.02   -0.02   0.019  0.6351263
-0.019   -0.02   -0.02  0.5650588
-0.019   -0.02   -0.019  0.5648168
-0.019   -0.02   -0.018  0.5660205
-0.019   -0.02   -0.017  0.5673329
-0.019   -0.02   -0.016  0.5685062
-0.019   -0.02   -0.015  0.5694822
-0.019   -0.02   -0.014  0.5704632
-0.019   -0.02   -0.013  0.5712076
-0.019   -0.02   -0.012  0.5726106
-0.019   -0.02   -0.011  0.57411957
-0.019   -0.02   -0.01  0.57518655
-0.019   -0.02   -0.009  0.57597446
-0.019   -0.02   -0.008  0.57698095
-0.019   -0.02   -0.007  0.57836926
-0.019   -0.02   -0.006  0.5796721
-0.019   -0.02   -0.005  0.5802401
-0.019   -0.02   -0.004  0.5814482
-0.019   -0.02   -0.003  0.5833468
-0.019   -0.02   -0.002  0.58488584
-0.019   -0.02   -0.001  0.58632207
-0.019   -0.02   0.0  0.5881111
-0.019   -0.02   0.001  0.5897226
-0.019   -0.02   0.002  0.59118664
-0.019   -0.02   0.003  0.59209645
-0.019   -0.02   0.004  0.5926304
-0.019   -0.02   0.005  0.59322053
-0.019   -0.02   0.006  0.5943531
-0.019   -0.02   0.007  0.59606045
-0.019   -0.02   0.008  0.5975825
-0.019   -0.02   0.009  0.59943014
-0.019   -0.02   0.01  0.6014113
-0.019   -0.02   0.011  0.60334116
-0.019   -0.02   0.012  0.60502875
-0.019   -0.02   0.013  0.6071376
-0.019   -0.02   0.014  0.6094851
-0.019   -0.02   0.015  0.61198914
-0.019   -0.02   0.016  0.6147153
-0.019   -0.02   0.017  0.61780876
-0.019   -0.02   0.018  0.6212531
-0.019   -0.02   0.019  0.6254191
-0.018   -0.02   -0.02  0.5566505
-0.018   -0.02   -0.019  0.55677444
-0.018   -0.02   -0.018  0.5576048
-0.018   -0.02   -0.017  0.5587179
-0.018   -0.02   -0.016  0.5595596
-0.018   -0.02   -0.015  0.56018126
-0.018   -0.02   -0.014  0.5612256
-0.018   -0.02   -0.013  0.56200826
-0.018   -0.02   -0.012  0.5631726
-0.018   -0.02   -0.011  0.5643207
-0.018   -0.02   -0.01  0.56522703
-0.018   -0.02   -0.009  0.5663357
-0.018   -0.02   -0.008  0.5674371
-0.018   -0.02   -0.007  0.5689111
-0.018   -0.02   -0.006  0.57025796
-0.018   -0.02   -0.005  0.5710607
-0.018   -0.02   -0.004  0.57187486
-0.018   -0.02   -0.003  0.57391804
-0.018   -0.02   -0.002  0.57600653
-0.018   -0.02   -0.001  0.5775829
-0.018   -0.02   0.0  0.57955045
-0.018   -0.02   0.001  0.5813828
-0.018   -0.02   0.002  0.5825391
-0.018   -0.02   0.003  0.5831171
-0.018   -0.02   0.004  0.5835006
-0.018   -0.02   0.005  0.5844034
-0.018   -0.02   0.006  0.58578163
-0.018   -0.02   0.007  0.5874248
-0.018   -0.02   0.008  0.5891541
-0.018   -0.02   0.009  0.59099174
-0.018   -0.02   0.01  0.59230995
-0.018   -0.02   0.011  0.5937361
-0.018   -0.02   0.012  0.59522086
-0.018   -0.02   0.013  0.59781355
-0.018   -0.02   0.014  0.6004166
-0.018   -0.02   0.015  0.6027751
-0.018   -0.02   0.016  0.6054066
-0.018   -0.02   0.017  0.60843694
-0.018   -0.02   0.018  0.61202055
-0.018   -0.02   0.019  0.6162055
-0.017   -0.02   -0.02  0.5478871
-0.017   -0.02   -0.019  0.5484415
-0.017   -0.02   -0.018  0.54874635
-0.017   -0.02   -0.017  0.5497246
-0.017   -0.02   -0.016  0.550762
-0.017   -0.02   -0.015  0.55127466
-0.017   -0.02   -0.014  0.55214787
-0.017   -0.02   -0.013  0.5529559
-0.017   -0.02   -0.012  0.5537033
-0.017   -0.02   -0.011  0.5544841
-0.017   -0.02   -0.01  0.55530065
-0.017   -0.02   -0.009  0.5562714
-0.017   -0.02   -0.008  0.5576144
-0.017   -0.02   -0.007  0.55887955
-0.017   -0.02   -0.006  0.56055075
-0.017   -0.02   -0.005  0.561563
-0.017   -0.02   -0.004  0.5623444
-0.017   -0.02   -0.003  0.5641747
-0.017   -0.02   -0.002  0.5663202
-0.017   -0.02   -0.001  0.5684244
-0.017   -0.02   0.0  0.57071143
-0.017   -0.02   0.001  0.57249653
-0.017   -0.02   0.002  0.5739539
-0.017   -0.02   0.003  0.57448363
-0.017   -0.02   0.004  0.57509905
-0.017   -0.02   0.005  0.57607436
-0.017   -0.02   0.006  0.577365
-0.017   -0.02   0.007  0.5791629
-0.017   -0.02   0.008  0.5809339
-0.017   -0.02   0.009  0.5822895
-0.017   -0.02   0.01  0.5832768
-0.017   -0.02   0.011  0.58442336
-0.017   -0.02   0.012  0.5863251
-0.017   -0.02   0.013  0.5889398
-0.017   -0.02   0.014  0.5915751
-0.017   -0.02   0.015  0.59398395
-0.017   -0.02   0.016  0.5967386
-0.017   -0.02   0.017  0.59991753
-0.017   -0.02   0.018  0.6034851
-0.017   -0.02   0.019  0.6077393
-0.016   -0.02   -0.02  0.5386165
-0.016   -0.02   -0.019  0.53966945
-0.016   -0.02   -0.018  0.5401958
-0.016   -0.02   -0.017  0.54073274
-0.016   -0.02   -0.016  0.5419342
-0.016   -0.02   -0.015  0.5427472
-0.016   -0.02   -0.014  0.54345965
-0.016   -0.02   -0.013  0.54413795
-0.016   -0.02   -0.012  0.54453236
-0.016   -0.02   -0.011  0.54486173
-0.016   -0.02   -0.01  0.5453695
-0.016   -0.02   -0.009  0.54639435
-0.016   -0.02   -0.008  0.5478689
-0.016   -0.02   -0.007  0.5492199
-0.016   -0.02   -0.006  0.5503197
-0.016   -0.02   -0.005  0.5511657
-0.016   -0.02   -0.004  0.5522412
-0.016   -0.02   -0.003  0.55403674
-0.016   -0.02   -0.002  0.5561257
-0.016   -0.02   -0.001  0.558994
-0.016   -0.02   0.0  0.56136215
-0.016   -0.02   0.001  0.56346214
-0.016   -0.02   0.002  0.565052
-0.016   -0.02   0.003  0.5658667
-0.016   -0.02   0.004  0.5667786
-0.016   -0.02   0.005  0.5679209
-0.016   -0.02   0.006  0.56923115
-0.016   -0.02   0.007  0.5708446
-0.016   -0.02   0.008  0.5723645
-0.016   -0.02   0.009  0.57335955
-0.016   -0.02   0.01  0.5744955
-0.016   -0.02   0.011  0.5758845
-0.016   -0.02   0.012  0.57773066
-0.016   -0.02   0.013  0.58040756
-0.016   -0.02   0.014  0.58283585
-0.016   -0.02   0.015  0.5855609
-0.016   -0.02   0.016  0.5886906
-0.016   -0.02   0.017  0.5919281
-0.016   -0.02   0.018  0.5954933
-0.016   -0.02   0.019  0.5998357
-0.015   -0.02   -0.02  0.52887666
-0.015   -0.02   -0.019  0.530164
-0.015   -0.02   -0.018  0.53132343
-0.015   -0.02   -0.017  0.5321734
-0.015   -0.02   -0.016  0.5329387
-0.015   -0.02   -0.015  0.5338982
-0.015   -0.02   -0.014  0.53432333
-0.015   -0.02   -0.013  0.5348685
-0.015   -0.02   -0.012  0.5352345
-0.015   -0.02   -0.011  0.5355373
