Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v1
strin_x    strain_y    strain_z    v1
0.0   0.0   0.0  0.5129584
0.0   0.0   0.001  0.51583743
0.0   0.0   0.002  0.5180171
0.0   0.0   0.003  0.51969534
0.0   0.0   0.004  0.52030337
0.0   0.0   0.005  0.52082455
0.0   0.0   0.006  0.5214969
0.0   0.0   0.007  0.52196234
0.0   0.0   0.008  0.52227074
0.0   0.0   0.009  0.522499
0.0   0.0   0.01  0.522479
0.0   0.0   0.011  0.52236533
0.0   0.0   0.012  0.5229388
0.0   0.0   0.013  0.5239243
0.0   0.0   0.014  0.5250822
0.0   0.0   0.015  0.52686375
0.0   0.0   0.016  0.52891475
0.0   0.0   0.017  0.530978
0.0   0.0   0.018  0.5329898
0.0   0.0   0.019  0.53502095
0.0   0.0   0.02  0.53678584
0.0   0.0   0.021  0.5382813
0.0   0.0   0.022  0.53976643
0.0   0.0   0.023  0.5414882
0.0   0.0   0.024  0.5431695
0.0   0.0   0.025  0.5447805
0.0   0.0   0.026  0.5464296
0.0   0.0   0.027  0.5480312
0.0   0.0   0.028  0.54978
0.0   0.0   0.029  0.5516668
0.0   0.0   0.03  0.553636
0.0   0.0   0.031  0.55571026
0.0   0.0   0.032  0.55815923
0.0   0.0   0.033  0.5607768
0.0   0.0   0.034  0.5633693
0.0   0.0   0.035  0.5659685
0.0   0.0   0.036  0.56856227
0.0   0.0   0.037  0.5714046
0.0   0.0   0.038  0.57423764
0.0   0.0   0.039  0.57710546
0.0   0.0   0.04  0.5800326
0.0   0.0   0.041  0.58301383
0.0   0.0   0.042  0.58593667
0.0   0.0   0.043  0.5888452
0.0   0.0   0.044  0.5919009
0.0   0.0   0.045  0.5950265
0.0   0.0   0.046  0.5981653
0.0   0.0   0.047  0.60135615
0.0   0.0   0.048  0.6045381
0.0   0.0   0.049  0.6076477
0.001   0.0   0.0  0.50026715
0.001   0.0   0.001  0.5027281
0.001   0.0   0.002  0.5042305
0.001   0.0   0.003  0.50642693
0.001   0.0   0.004  0.507877
0.001   0.0   0.005  0.5091809
0.001   0.0   0.006  0.5103848
0.001   0.0   0.007  0.5115394
0.001   0.0   0.008  0.51273316
0.001   0.0   0.009  0.51367
0.001   0.0   0.01  0.51428694
0.001   0.0   0.011  0.5147606
0.001   0.0   0.012  0.5151401
0.001   0.0   0.013  0.51550704
0.001   0.0   0.014  0.51668686
0.001   0.0   0.015  0.5186951
0.001   0.0   0.016  0.52079767
0.001   0.0   0.017  0.52294075
0.001   0.0   0.018  0.5250273
0.001   0.0   0.019  0.5272157
0.001   0.0   0.02  0.5287848
0.001   0.0   0.021  0.5302594
0.001   0.0   0.022  0.53171265
0.001   0.0   0.023  0.53339237
0.001   0.0   0.024  0.53487116
0.001   0.0   0.025  0.5366578
0.001   0.0   0.026  0.53846544
0.001   0.0   0.027  0.5403558
0.001   0.0   0.028  0.5422315
0.001   0.0   0.029  0.54410094
0.001   0.0   0.03  0.54624194
0.001   0.0   0.031  0.5486397
0.001   0.0   0.032  0.55112803
0.001   0.0   0.033  0.55365807
0.001   0.0   0.034  0.55624145
0.001   0.0   0.035  0.55878484
0.001   0.0   0.036  0.5614525
0.001   0.0   0.037  0.5642741
0.001   0.0   0.038  0.56714165
0.001   0.0   0.039  0.5700649
0.001   0.0   0.04  0.5729945
0.001   0.0   0.041  0.57592773
0.001   0.0   0.042  0.5789042
0.001   0.0   0.043  0.581797
0.001   0.0   0.044  0.58465844
0.001   0.0   0.045  0.5876053
0.001   0.0   0.046  0.5907312
0.001   0.0   0.047  0.593893
0.001   0.0   0.048  0.597022
0.001   0.0   0.049  0.60018617
0.002   0.0   0.0  0.4860685
0.002   0.0   0.001  0.48918927
0.002   0.0   0.002  0.49140537
0.002   0.0   0.003  0.49315494
0.002   0.0   0.004  0.49478745
0.002   0.0   0.005  0.4965793
0.002   0.0   0.006  0.4980961
0.002   0.0   0.007  0.49973476
0.002   0.0   0.008  0.50189954
0.002   0.0   0.009  0.5035269
0.002   0.0   0.01  0.5049476
0.002   0.0   0.011  0.50576067
0.002   0.0   0.012  0.50610197
0.002   0.0   0.013  0.5066424
0.002   0.0   0.014  0.5076922
0.002   0.0   0.015  0.50963944
0.002   0.0   0.016  0.5118347
0.002   0.0   0.017  0.5135909
0.002   0.0   0.018  0.5152659
0.002   0.0   0.019  0.5170382
0.002   0.0   0.02  0.5187157
0.002   0.0   0.021  0.5203373
0.002   0.0   0.022  0.5219703
0.002   0.0   0.023  0.5239724
0.002   0.0   0.024  0.5260075
0.002   0.0   0.025  0.5280264
0.002   0.0   0.026  0.5301582
0.002   0.0   0.027  0.5322792
0.002   0.0   0.028  0.5343796
0.002   0.0   0.029  0.5366577
0.002   0.0   0.03  0.5390075
0.002   0.0   0.031  0.54146135
0.002   0.0   0.032  0.5439859
0.002   0.0   0.033  0.54641634
0.002   0.0   0.034  0.5489187
0.002   0.0   0.035  0.5514986
0.002   0.0   0.036  0.5542846
0.002   0.0   0.037  0.55710727
0.002   0.0   0.038  0.55999607
0.002   0.0   0.039  0.5629229
0.002   0.0   0.04  0.56584257
0.002   0.0   0.041  0.56874824
0.002   0.0   0.042  0.5716466
