Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v6
strin_x    strain_y    strain_z    v6
-0.1   -0.1   -0.1  1.3637662
-0.1   -0.1   -0.096  1.3312073
-0.1   -0.1   -0.092  1.297336
-0.1   -0.1   -0.088  1.2613596
-0.1   -0.1   -0.084  1.2267487
-0.1   -0.1   -0.08  1.1933666
-0.1   -0.1   -0.076  1.1603875
-0.1   -0.1   -0.072  1.1290647
-0.1   -0.1   -0.068  1.0992624
-0.1   -0.1   -0.064  1.0701632
-0.1   -0.1   -0.06  1.0420542
-0.1   -0.1   -0.056  1.0137546
-0.1   -0.1   -0.052  0.98546493
-0.1   -0.1   -0.048  0.9557433
-0.1   -0.1   -0.044  0.925681
-0.1   -0.1   -0.04  0.89646053
-0.1   -0.1   -0.036  0.8676785
-0.1   -0.1   -0.032  0.8396379
-0.1   -0.1   -0.028  0.8128743
-0.1   -0.1   -0.024  0.7881628
-0.1   -0.1   -0.02  0.76518786
-0.1   -0.1   -0.016  0.744333
-0.1   -0.1   -0.012  0.7243534
-0.1   -0.1   -0.008  0.7054612
-0.1   -0.1   -0.004  0.68789613
-0.1   -0.1   0.0  0.6709541
-0.1   -0.1   0.004  0.65246356
-0.1   -0.1   0.008  0.6334436
-0.1   -0.1   0.012  0.614575
-0.1   -0.1   0.016  0.59814715
-0.1   -0.1   0.02  0.5818444
-0.1   -0.1   0.024  0.5662538
-0.1   -0.1   0.028  0.54937446
-0.1   -0.1   0.032  0.53337395
-0.1   -0.1   0.036  0.5212977
-0.1   -0.1   0.04  0.5092077
-0.1   -0.1   0.044  0.49672723
-0.1   -0.1   0.048  0.48627537
-0.1   -0.1   0.052  0.47704405
-0.1   -0.1   0.056  0.46886897
-0.1   -0.1   0.06  0.46026883
-0.1   -0.1   0.064  0.44945914
-0.1   -0.1   0.068  0.43932715
-0.1   -0.1   0.072  0.42941248
-0.1   -0.1   0.076  0.41908354
-0.1   -0.1   0.08  0.4098906
-0.1   -0.1   0.084  0.40166345
-0.1   -0.1   0.088  0.39300784
-0.1   -0.1   0.092  0.38415033
-0.1   -0.1   0.096  0.3743698
-0.096   -0.1   -0.1  1.3571714
-0.096   -0.1   -0.096  1.3240316
-0.096   -0.1   -0.092  1.2911034
-0.096   -0.1   -0.088  1.2549729
-0.096   -0.1   -0.084  1.220107
-0.096   -0.1   -0.08  1.1866051
-0.096   -0.1   -0.076  1.1535753
-0.096   -0.1   -0.072  1.1218579
-0.096   -0.1   -0.068  1.0918111
-0.096   -0.1   -0.064  1.0640705
-0.096   -0.1   -0.06  1.0369813
-0.096   -0.1   -0.056  1.009705
-0.096   -0.1   -0.052  0.98231554
-0.096   -0.1   -0.048  0.951591
-0.096   -0.1   -0.044  0.9217235
-0.096   -0.1   -0.04  0.89260244
-0.096   -0.1   -0.036  0.863703
-0.096   -0.1   -0.032  0.8372731
-0.096   -0.1   -0.028  0.8114228
-0.096   -0.1   -0.024  0.7862557
-0.096   -0.1   -0.02  0.7619603
-0.096   -0.1   -0.016  0.73791397
-0.096   -0.1   -0.012  0.7171734
-0.096   -0.1   -0.008  0.6983702
-0.096   -0.1   -0.004  0.6812297
-0.096   -0.1   0.0  0.66418016
-0.096   -0.1   0.004  0.647534
-0.096   -0.1   0.008  0.6285558
-0.096   -0.1   0.012  0.60917604
-0.096   -0.1   0.016  0.59348506
-0.096   -0.1   0.02  0.5765363
-0.096   -0.1   0.024  0.55957776
-0.096   -0.1   0.028  0.5432153
-0.096   -0.1   0.032  0.52911526
-0.096   -0.1   0.036  0.5173263
-0.096   -0.1   0.04  0.5063613
-0.096   -0.1   0.044  0.4942199
-0.096   -0.1   0.048  0.4840515
-0.096   -0.1   0.052  0.475974
-0.096   -0.1   0.056  0.46831208
-0.096   -0.1   0.06  0.4606401
-0.096   -0.1   0.064  0.450773
-0.096   -0.1   0.068  0.44119304
-0.096   -0.1   0.072  0.43150753
-0.096   -0.1   0.076  0.4218132
-0.096   -0.1   0.08  0.41320652
-0.096   -0.1   0.084  0.40515184
-0.096   -0.1   0.088  0.39590347
-0.096   -0.1   0.092  0.3858887
-0.096   -0.1   0.096  0.37584117
-0.092   -0.1   -0.1  1.3522315
-0.092   -0.1   -0.096  1.3175387
-0.092   -0.1   -0.092  1.2848155
-0.092   -0.1   -0.088  1.2502817
-0.092   -0.1   -0.084  1.2144736
-0.092   -0.1   -0.08  1.1813333
-0.092   -0.1   -0.076  1.1490526
-0.092   -0.1   -0.072  1.117313
-0.092   -0.1   -0.068  1.0861721
-0.092   -0.1   -0.064  1.0583065
-0.092   -0.1   -0.06  1.0319226
-0.092   -0.1   -0.056  1.0060104
-0.092   -0.1   -0.052  0.9777328
-0.092   -0.1   -0.048  0.9471854
-0.092   -0.1   -0.044  0.9173777
-0.092   -0.1   -0.04  0.8884946
-0.092   -0.1   -0.036  0.8601427
-0.092   -0.1   -0.032  0.83431363
-0.092   -0.1   -0.028  0.8088229
-0.092   -0.1   -0.024  0.78375363
-0.092   -0.1   -0.02  0.75855315
-0.092   -0.1   -0.016  0.73328793
-0.092   -0.1   -0.012  0.7104304
-0.092   -0.1   -0.008  0.69209254
-0.092   -0.1   -0.004  0.67468154
-0.092   -0.1   0.0  0.6574582
-0.092   -0.1   0.004  0.64021325
-0.092   -0.1   0.008  0.62313557
-0.092   -0.1   0.012  0.6050557
-0.092   -0.1   0.016  0.5887166
-0.092   -0.1   0.02  0.57231694
-0.092   -0.1   0.024  0.55445385
-0.092   -0.1   0.028  0.5390539
-0.092   -0.1   0.032  0.52563345
-0.092   -0.1   0.036  0.5142325
-0.092   -0.1   0.04  0.50362724
-0.092   -0.1   0.044  0.4919803
-0.092   -0.1   0.048  0.48293906
-0.092   -0.1   0.052  0.475375
-0.092   -0.1   0.056  0.468927
-0.092   -0.1   0.06  0.46231258
-0.092   -0.1   0.064  0.4529257
-0.092   -0.1   0.068  0.44368592
-0.092   -0.1   0.072  0.43399063
-0.092   -0.1   0.076  0.42533815
-0.092   -0.1   0.08  0.41742224
-0.092   -0.1   0.084  0.4089294
-0.092   -0.1   0.088  0.39887607
-0.092   -0.1   0.092  0.3887254
-0.092   -0.1   0.096  0.37929857
-0.088   -0.1   -0.1  1.3476248
-0.088   -0.1   -0.096  1.3125489
-0.088   -0.1   -0.092  1.2789433
-0.088   -0.1   -0.088  1.2454189
-0.088   -0.1   -0.084  1.2103475
-0.088   -0.1   -0.08  1.1774235
-0.088   -0.1   -0.076  1.145827
-0.088   -0.1   -0.072  1.1137198
-0.088   -0.1   -0.068  1.0826795
-0.088   -0.1   -0.064  1.0530679
-0.088   -0.1   -0.06  1.0257252
-0.088   -0.1   -0.056  0.9992205
-0.088   -0.1   -0.052  0.97138417
-0.088   -0.1   -0.048  0.9423243
-0.088   -0.1   -0.044  0.91193485
-0.088   -0.1   -0.04  0.883203
-0.088   -0.1   -0.036  0.8566421
-0.088   -0.1   -0.032  0.8312744
-0.088   -0.1   -0.028  0.805441
-0.088   -0.1   -0.024  0.780869
-0.088   -0.1   -0.02  0.7551954
-0.088   -0.1   -0.016  0.72930044
-0.088   -0.1   -0.012  0.7065053
-0.088   -0.1   -0.008  0.6867453
-0.088   -0.1   -0.004  0.6682638
-0.088   -0.1   0.0  0.6511452
-0.088   -0.1   0.004  0.63374317
-0.088   -0.1   0.008  0.6176067
-0.088   -0.1   0.012  0.60178864
-0.088   -0.1   0.016  0.5850479
-0.088   -0.1   0.02  0.56862974
-0.088   -0.1   0.024  0.552305
-0.088   -0.1   0.028  0.537285
-0.088   -0.1   0.032  0.52447677
-0.088   -0.1   0.036  0.51376843
-0.088   -0.1   0.04  0.50367445
-0.088   -0.1   0.044  0.4920635
-0.088   -0.1   0.048  0.48390988
-0.088   -0.1   0.052  0.47754824
-0.088   -0.1   0.056  0.47157586
-0.088   -0.1   0.06  0.4649147
-0.088   -0.1   0.064  0.45704985
-0.088   -0.1   0.068  0.44793522
-0.088   -0.1   0.072  0.43737978
-0.088   -0.1   0.076  0.42887717
-0.088   -0.1   0.08  0.42072526
-0.088   -0.1   0.084  0.41123605
-0.088   -0.1   0.088  0.40090293
-0.088   -0.1   0.092  0.3916887
-0.088   -0.1   0.096  0.3838452
-0.084   -0.1   -0.1  1.3441333
-0.084   -0.1   -0.096  1.3092589
-0.084   -0.1   -0.092  1.2751427
-0.084   -0.1   -0.088  1.2408386
-0.084   -0.1   -0.084  1.2074078
-0.084   -0.1   -0.08  1.1741111
-0.084   -0.1   -0.076  1.1427819
-0.084   -0.1   -0.072  1.1102415
-0.084   -0.1   -0.068  1.0789527
-0.084   -0.1   -0.064  1.0488552
-0.084   -0.1   -0.06  1.0204707
-0.084   -0.1   -0.056  0.99242806
-0.084   -0.1   -0.052  0.963706
-0.084   -0.1   -0.048  0.93541145
-0.084   -0.1   -0.044  0.90567565
-0.084   -0.1   -0.04  0.87807405
-0.084   -0.1   -0.036  0.8523704
-0.084   -0.1   -0.032  0.82734907
-0.084   -0.1   -0.028  0.8018786
-0.084   -0.1   -0.024  0.7777728
-0.084   -0.1   -0.02  0.75232935
-0.084   -0.1   -0.016  0.7260726
-0.084   -0.1   -0.012  0.70315087
-0.084   -0.1   -0.008  0.6835468
-0.084   -0.1   -0.004  0.6637354
-0.084   -0.1   0.0  0.64562035
-0.084   -0.1   0.004  0.62906355
-0.084   -0.1   0.008  0.61335826
-0.084   -0.1   0.012  0.5988784
-0.084   -0.1   0.016  0.58257484
-0.084   -0.1   0.02  0.5669011
-0.084   -0.1   0.024  0.5516269
-0.084   -0.1   0.028  0.53721416
-0.084   -0.1   0.032  0.5250809
-0.084   -0.1   0.036  0.514388
-0.084   -0.1   0.04  0.5043595
-0.084   -0.1   0.044  0.4931476
-0.084   -0.1   0.048  0.48520222
-0.084   -0.1   0.052  0.4795537
-0.084   -0.1   0.056  0.4749049
-0.084   -0.1   0.06  0.4689713
-0.084   -0.1   0.064  0.4617734
-0.084   -0.1   0.068  0.4522608
-0.084   -0.1   0.072  0.4417245
-0.084   -0.1   0.076  0.43244046
-0.084   -0.1   0.08  0.42376146
-0.084   -0.1   0.084  0.41412866
-0.084   -0.1   0.088  0.40455946
-0.084   -0.1   0.092  0.39622405
-0.084   -0.1   0.096  0.38766903
-0.08   -0.1   -0.1  1.3414794
-0.08   -0.1   -0.096  1.3070223
-0.08   -0.1   -0.092  1.2716839
-0.08   -0.1   -0.088  1.2371889
-0.08   -0.1   -0.084  1.2045264
-0.08   -0.1   -0.08  1.1726449
-0.08   -0.1   -0.076  1.1409079
-0.08   -0.1   -0.072  1.1081772
-0.08   -0.1   -0.068  1.0756501
-0.08   -0.1   -0.064  1.0448409
-0.08   -0.1   -0.06  1.0157231
-0.08   -0.1   -0.056  0.9869373
-0.08   -0.1   -0.052  0.9577427
-0.08   -0.1   -0.048  0.92892075
-0.08   -0.1   -0.044  0.9006423
-0.08   -0.1   -0.04  0.87296593
-0.08   -0.1   -0.036  0.84757006
-0.08   -0.1   -0.032  0.82348144
-0.08   -0.1   -0.028  0.7986008
-0.08   -0.1   -0.024  0.77393425
-0.08   -0.1   -0.02  0.7489382
-0.08   -0.1   -0.016  0.7238575
-0.08   -0.1   -0.012  0.70110416
-0.08   -0.1   -0.008  0.680238
-0.08   -0.1   -0.004  0.66069824
-0.08   -0.1   0.0  0.6427076
-0.08   -0.1   0.004  0.62613237
-0.08   -0.1   0.008  0.6100372
-0.08   -0.1   0.012  0.5970864
-0.08   -0.1   0.016  0.5829809
-0.08   -0.1   0.02  0.56668437
-0.08   -0.1   0.024  0.55195034
-0.08   -0.1   0.028  0.53922844
-0.08   -0.1   0.032  0.5270165
-0.08   -0.1   0.036  0.51578385
-0.08   -0.1   0.04  0.50645584
-0.08   -0.1   0.044  0.4957364
-0.08   -0.1   0.048  0.48880985
-0.08   -0.1   0.052  0.48370904
-0.08   -0.1   0.056  0.4790942
-0.08   -0.1   0.06  0.47317576
-0.08   -0.1   0.064  0.46714866
-0.08   -0.1   0.068  0.45789254
-0.08   -0.1   0.072  0.44724736
-0.08   -0.1   0.076  0.43808144
-0.08   -0.1   0.08  0.42870006
-0.08   -0.1   0.084  0.41894358
-0.08   -0.1   0.088  0.4098332
-0.08   -0.1   0.092  0.40056866
-0.08   -0.1   0.096  0.39147136
-0.076   -0.1   -0.1  1.33985
-0.076   -0.1   -0.096  1.3041039
-0.076   -0.1   -0.092  1.2695613
-0.076   -0.1   -0.088  1.2354797
-0.076   -0.1   -0.084  1.201804
-0.076   -0.1   -0.08  1.1702224
-0.076   -0.1   -0.076  1.1379985
-0.076   -0.1   -0.072  1.1062942
-0.076   -0.1   -0.068  1.0731512
-0.076   -0.1   -0.064  1.0416926
-0.076   -0.1   -0.06  1.0111216
-0.076   -0.1   -0.056  0.9822931
-0.076   -0.1   -0.052  0.9537604
-0.076   -0.1   -0.048  0.9251584
-0.076   -0.1   -0.044  0.8971826
-0.076   -0.1   -0.04  0.8695955
-0.076   -0.1   -0.036  0.8428092
-0.076   -0.1   -0.032  0.8193097
-0.076   -0.1   -0.028  0.79532623
-0.076   -0.1   -0.024  0.77067685
-0.076   -0.1   -0.02  0.74704874
-0.076   -0.1   -0.016  0.72288895
-0.076   -0.1   -0.012  0.6998186
-0.076   -0.1   -0.008  0.6778996
-0.076   -0.1   -0.004  0.65845954
-0.076   -0.1   0.0  0.6407803
-0.076   -0.1   0.004  0.624465
-0.076   -0.1   0.008  0.61097777
-0.076   -0.1   0.012  0.5980922
-0.076   -0.1   0.016  0.58388984
-0.076   -0.1   0.02  0.5684453
-0.076   -0.1   0.024  0.55468297
-0.076   -0.1   0.028  0.54165924
-0.076   -0.1   0.032  0.5302706
-0.076   -0.1   0.036  0.5195765
-0.076   -0.1   0.04  0.51014704
-0.076   -0.1   0.044  0.5001933
-0.076   -0.1   0.048  0.49312368
-0.076   -0.1   0.052  0.48844418
-0.076   -0.1   0.056  0.4830529
-0.076   -0.1   0.06  0.47779924
-0.076   -0.1   0.064  0.47164106
-0.076   -0.1   0.068  0.4626267
-0.076   -0.1   0.072  0.4533882
-0.076   -0.1   0.076  0.44370082
-0.076   -0.1   0.08  0.43359017
-0.076   -0.1   0.084  0.42390287
-0.076   -0.1   0.088  0.41384867
-0.076   -0.1   0.092  0.4045071
