Inference results by NN model
strain parameters and last term is v1
strain_x    strain_y     strain_z     v1
-0.0     -0.0     -0.03     0.41645306
-0.0     -0.0     -0.029     0.41827667
-0.0     -0.0     -0.028     0.4203634
-0.0     -0.0     -0.027     0.42262024
-0.0     -0.0     -0.026     0.42495275
-0.0     -0.0     -0.025     0.42741346
-0.0     -0.0     -0.024     0.43009073
-0.0     -0.0     -0.023     0.43267858
-0.0     -0.0     -0.022     0.43536294
-0.0     -0.0     -0.021     0.43794274
-0.0     -0.0     -0.02     0.44055378
-0.0     -0.0     -0.019     0.44334385
-0.0     -0.0     -0.018     0.4463858
-0.0     -0.0     -0.017     0.44947547
-0.0     -0.0     -0.016     0.45267522
-0.0     -0.0     -0.015     0.45586765
-0.0     -0.0     -0.014     0.4587893
-0.0     -0.0     -0.013     0.4616716
-0.0     -0.0     -0.012     0.46424347
-0.0     -0.0     -0.011     0.4671203
-0.0     -0.0     -0.01     0.470519
-0.0     -0.0     -0.009     0.47410297
-0.0     -0.0     -0.008     0.47706687
-0.0     -0.0     -0.007     0.48061568
-0.0     -0.0     -0.006     0.48551947
-0.0     -0.0     -0.005     0.491103
-0.0     -0.0     -0.004     0.4967867
-0.0     -0.0     -0.003     0.50246274
-0.0     -0.0     -0.002     0.50708705
-0.0     -0.0     -0.001     0.51123464
0.0     0.0     0.0     0.51474947
0.0     0.0     0.001     0.51829153
0.0     0.0     0.002     0.5209341
0.0     0.0     0.003     0.52307945
0.0     0.0     0.004     0.52428144
0.0     0.0     0.005     0.52442527
0.0     0.0     0.006     0.5247492
0.0     0.0     0.007     0.5254336
0.0     0.0     0.008     0.5261632
0.0     0.0     0.009     0.5275411
0.0     0.0     0.01     0.52907234
0.0     0.0     0.011     0.53073686
0.0     0.0     0.012     0.53315586
0.0     0.0     0.013     0.5353393
0.0     0.0     0.014     0.53684527
0.0     0.0     0.015     0.5380373
0.0     0.0     0.016     0.53998893
0.0     0.0     0.017     0.541636
0.0     0.0     0.018     0.542607
0.0     0.0     0.019     0.54335797
0.0     0.0     0.02     0.5444056
0.0     0.0     0.021     0.5456553
0.0     0.0     0.022     0.54711133
0.0     0.0     0.023     0.54827815
0.0     0.0     0.024     0.5492992
0.0     0.0     0.025     0.55012965
0.0     0.0     0.026     0.55072254
0.0     0.0     0.027     0.5512648
0.0     0.0     0.028     0.5517818
0.0     0.0     0.029     0.55239147
0.0     0.0     0.03     0.5530552
