Inference results by NN model
strain parameters and last term is v2
strain_x    strain_y     strain_z     v2
-0.03     -0.03     -0.0     0.40421075
-0.029     -0.029     -0.0     0.40464658
-0.028     -0.028     -0.0     0.40535706
-0.027     -0.027     -0.0     0.40639234
-0.026     -0.026     -0.0     0.40752324
-0.025     -0.025     -0.0     0.40871504
-0.024     -0.024     -0.0     0.41021723
-0.023     -0.023     -0.0     0.41218105
-0.022     -0.022     -0.0     0.41433257
-0.021     -0.021     -0.0     0.41662213
-0.02     -0.02     -0.0     0.4189985
-0.019     -0.019     -0.0     0.4215526
-0.018     -0.018     -0.0     0.4241693
-0.017     -0.017     -0.0     0.42673576
-0.016     -0.016     -0.0     0.42928222
-0.015     -0.015     -0.0     0.43193278
-0.014     -0.014     -0.0     0.43490815
-0.013     -0.013     -0.0     0.43750444
-0.012     -0.012     -0.0     0.4399662
-0.011     -0.011     -0.0     0.44234383
-0.01     -0.01     -0.0     0.4443309
-0.009     -0.009     -0.0     0.44562876
-0.008     -0.008     -0.0     0.44798508
-0.007     -0.007     -0.0     0.45052627
-0.006     -0.006     -0.0     0.45220137
-0.005     -0.005     -0.0     0.4543979
-0.004     -0.004     -0.0     0.4572854
-0.003     -0.003     -0.0     0.46094996
-0.002     -0.002     -0.0     0.4627336
-0.001     -0.001     -0.0     0.46466595
0.0     0.0     0.0     0.4664856
0.001     0.001     0.0     0.46619934
0.002     0.002     0.0     0.4646091
0.003     0.003     0.0     0.46284035
0.004     0.004     0.0     0.45987138
0.005     0.005     0.0     0.45757544
0.006     0.006     0.0     0.4574922
0.007     0.007     0.0     0.45756876
0.008     0.008     0.0     0.45801342
0.009     0.009     0.0     0.45761347
0.01     0.01     0.0     0.45651245
0.011     0.011     0.0     0.4551613
0.012     0.012     0.0     0.4541338
0.013     0.013     0.0     0.45398763
0.014     0.014     0.0     0.45447668
0.015     0.015     0.0     0.4552042
0.016     0.016     0.0     0.45612562
0.017     0.017     0.0     0.45754567
0.018     0.018     0.0     0.45913413
0.019     0.019     0.0     0.46089584
0.02     0.02     0.0     0.46272197
0.021     0.021     0.0     0.46483964
0.022     0.022     0.0     0.46710494
0.023     0.023     0.0     0.46945176
0.024     0.024     0.0     0.4718778
0.025     0.025     0.0     0.47458073
0.026     0.026     0.0     0.47732344
0.027     0.027     0.0     0.4800894
0.028     0.028     0.0     0.48282066
0.029     0.029     0.0     0.48573843
0.03     0.03     0.0     0.48874825
