Inference results by NN model
strain parameters and last term is v2
strain_x    strain_y     strain_z     v2
-0.03     -0.0     -0.03     0.8249103
-0.029     -0.0     -0.029     0.813277
-0.028     -0.0     -0.028     0.8015653
-0.027     -0.0     -0.027     0.78976166
-0.026     -0.0     -0.026     0.77781093
-0.025     -0.0     -0.025     0.7658857
-0.024     -0.0     -0.024     0.753984
-0.023     -0.0     -0.023     0.742406
-0.022     -0.0     -0.022     0.7310178
-0.021     -0.0     -0.021     0.71970606
-0.02     -0.0     -0.02     0.70836174
-0.019     -0.0     -0.019     0.69694066
-0.018     -0.0     -0.018     0.6854571
-0.017     -0.0     -0.017     0.6736961
-0.016     -0.0     -0.016     0.6617881
-0.015     -0.0     -0.015     0.64968896
-0.014     -0.0     -0.014     0.637511
-0.013     -0.0     -0.013     0.6252958
-0.012     -0.0     -0.012     0.6130481
-0.011     -0.0     -0.011     0.6011822
-0.01     -0.0     -0.01     0.58936596
-0.009     -0.0     -0.009     0.57759213
-0.008     -0.0     -0.008     0.5656605
-0.007     -0.0     -0.007     0.5533879
-0.006     -0.0     -0.006     0.53988814
-0.005     -0.0     -0.005     0.52754813
-0.004     -0.0     -0.004     0.5158956
-0.003     -0.0     -0.003     0.50464755
-0.002     -0.0     -0.002     0.49305904
-0.001     -0.0     -0.001     0.47943836
0.0     0.0     0.0     0.4664856
0.001     0.0     0.001     0.45352516
0.002     0.0     0.002     0.43891916
0.003     0.0     0.003     0.4250669
0.004     0.0     0.004     0.41051853
0.005     0.0     0.005     0.39545557
0.006     0.0     0.006     0.37877658
0.007     0.0     0.007     0.36247516
0.008     0.0     0.008     0.3465291
0.009     0.0     0.009     0.33043247
0.01     0.0     0.01     0.3156687
0.011     0.0     0.011     0.3019073
0.012     0.0     0.012     0.28904676
0.013     0.0     0.013     0.27768636
0.014     0.0     0.014     0.26789698
0.015     0.0     0.015     0.25927302
0.016     0.0     0.016     0.25133798
0.017     0.0     0.017     0.24367775
0.018     0.0     0.018     0.23653963
0.019     0.0     0.019     0.22997008
0.02     0.0     0.02     0.22365141
0.021     0.0     0.021     0.21765341
0.022     0.0     0.022     0.21167779
0.023     0.0     0.023     0.20581122
0.024     0.0     0.024     0.19998454
0.025     0.0     0.025     0.19423923
0.026     0.0     0.026     0.18875833
0.027     0.0     0.027     0.18340883
0.028     0.0     0.028     0.17806987
0.029     0.0     0.029     0.17271984
0.03     0.0     0.03     0.1673032
