Inference results by NN model
strain parameters and last term is v4
strain_x    strain_y     strain_z     v4
-0.03     -0.0     -0.0     0.7205241
-0.029     -0.0     -0.0     0.71798337
-0.028     -0.0     -0.0     0.715426
-0.027     -0.0     -0.0     0.7129223
-0.026     -0.0     -0.0     0.7107179
-0.025     -0.0     -0.0     0.7083125
-0.024     -0.0     -0.0     0.70577157
-0.023     -0.0     -0.0     0.70358264
-0.022     -0.0     -0.0     0.7013505
-0.021     -0.0     -0.0     0.6989938
-0.02     -0.0     -0.0     0.696435
-0.019     -0.0     -0.0     0.6937461
-0.018     -0.0     -0.0     0.69125587
-0.017     -0.0     -0.0     0.68875706
-0.016     -0.0     -0.0     0.68632156
-0.015     -0.0     -0.0     0.6836636
-0.014     -0.0     -0.0     0.68142307
-0.013     -0.0     -0.0     0.67996913
-0.012     -0.0     -0.0     0.67857206
-0.011     -0.0     -0.0     0.6769516
-0.01     -0.0     -0.0     0.6762307
-0.009     -0.0     -0.0     0.6755836
-0.008     -0.0     -0.0     0.67624706
-0.007     -0.0     -0.0     0.67759097
-0.006     -0.0     -0.0     0.67874366
-0.005     -0.0     -0.0     0.6799456
-0.004     -0.0     -0.0     0.68080384
-0.003     -0.0     -0.0     0.68152857
-0.002     -0.0     -0.0     0.68198323
-0.001     -0.0     -0.0     0.6821413
0.0     0.0     0.0     0.68241954
0.001     0.0     0.0     0.68122363
0.002     0.0     0.0     0.67977273
0.003     0.0     0.0     0.6778873
0.004     0.0     0.0     0.6759069
0.005     0.0     0.0     0.6727781
0.006     0.0     0.0     0.6698659
0.007     0.0     0.0     0.66649234
0.008     0.0     0.0     0.66341674
0.009     0.0     0.0     0.66031456
0.01     0.0     0.0     0.65740067
0.011     0.0     0.0     0.6548923
0.012     0.0     0.0     0.6527041
0.013     0.0     0.0     0.65110195
0.014     0.0     0.0     0.6495059
0.015     0.0     0.0     0.64708364
0.016     0.0     0.0     0.64425826
0.017     0.0     0.0     0.6408433
0.018     0.0     0.0     0.63749284
0.019     0.0     0.0     0.634344
0.02     0.0     0.0     0.63144535
0.021     0.0     0.0     0.6288188
0.022     0.0     0.0     0.626212
0.023     0.0     0.0     0.62414896
0.024     0.0     0.0     0.6224369
0.025     0.0     0.0     0.62080956
0.026     0.0     0.0     0.6192876
0.027     0.0     0.0     0.61782444
0.028     0.0     0.0     0.6164479
0.029     0.0     0.0     0.6149621
0.03     0.0     0.0     0.6138276
