Inference results by NN model
strain parameters and last term is v4
strain_x    strain_y     strain_z     v4
-0.03     -0.03     -0.03     0.8180252
-0.029     -0.029     -0.029     0.81119937
-0.028     -0.028     -0.028     0.80426794
-0.027     -0.027     -0.027     0.7974194
-0.026     -0.026     -0.026     0.7907174
-0.025     -0.025     -0.025     0.7841814
-0.024     -0.024     -0.024     0.77756
-0.023     -0.023     -0.023     0.7709608
-0.022     -0.022     -0.022     0.7646485
-0.021     -0.021     -0.021     0.7585891
-0.02     -0.02     -0.02     0.7526961
-0.019     -0.019     -0.019     0.7473601
-0.018     -0.018     -0.018     0.7427473
-0.017     -0.017     -0.017     0.7383372
-0.016     -0.016     -0.016     0.733972
-0.015     -0.015     -0.015     0.7296995
-0.014     -0.014     -0.014     0.7257584
-0.013     -0.013     -0.013     0.7219298
-0.012     -0.012     -0.012     0.7181914
-0.011     -0.011     -0.011     0.7148919
-0.01     -0.01     -0.01     0.7119481
-0.009     -0.009     -0.009     0.709371
-0.008     -0.008     -0.008     0.70618844
-0.007     -0.007     -0.007     0.7025945
-0.006     -0.006     -0.006     0.699303
-0.005     -0.005     -0.005     0.69677246
-0.004     -0.004     -0.004     0.6954765
-0.003     -0.003     -0.003     0.6935417
-0.002     -0.002     -0.002     0.6896689
-0.001     -0.001     -0.001     0.6862668
0.0     0.0     0.0     0.68241954
0.001     0.001     0.001     0.6754348
0.002     0.002     0.002     0.6668975
0.003     0.003     0.003     0.6580219
0.004     0.004     0.004     0.64845693
0.005     0.005     0.005     0.63898426
0.006     0.006     0.006     0.63082474
0.007     0.007     0.007     0.6223026
0.008     0.008     0.008     0.6136771
0.009     0.009     0.009     0.60644126
0.01     0.01     0.01     0.60058564
0.011     0.011     0.011     0.5958301
0.012     0.012     0.012     0.591802
0.013     0.013     0.013     0.58852756
0.014     0.014     0.014     0.5859846
0.015     0.015     0.015     0.5839638
0.016     0.016     0.016     0.58240026
0.017     0.017     0.017     0.5805225
0.018     0.018     0.018     0.57900745
0.019     0.019     0.019     0.57778764
0.02     0.02     0.02     0.57740736
0.021     0.021     0.021     0.5776322
0.022     0.022     0.022     0.57819676
0.023     0.023     0.023     0.57911205
0.024     0.024     0.024     0.5805887
0.025     0.025     0.025     0.58271503
0.026     0.026     0.026     0.58516353
0.027     0.027     0.027     0.58757657
0.028     0.028     0.028     0.5901717
0.029     0.029     0.029     0.59280324
0.03     0.03     0.03     0.5954845
