Inference results by NN model
strain parameters and last term is v4
strain_x    strain_y     strain_z     v4
-0.0     -0.03     -0.0     0.9616743
-0.0     -0.029     -0.0     0.95169884
-0.0     -0.028     -0.0     0.9418557
-0.0     -0.027     -0.0     0.9320839
-0.0     -0.026     -0.0     0.9226139
-0.0     -0.025     -0.0     0.9132923
-0.0     -0.024     -0.0     0.9040012
-0.0     -0.023     -0.0     0.8947086
-0.0     -0.022     -0.0     0.8852612
-0.0     -0.021     -0.0     0.87554234
-0.0     -0.02     -0.0     0.8658625
-0.0     -0.019     -0.0     0.85622317
-0.0     -0.018     -0.0     0.8463591
-0.0     -0.017     -0.0     0.83642954
-0.0     -0.016     -0.0     0.8268323
-0.0     -0.015     -0.0     0.81723577
-0.0     -0.014     -0.0     0.8077555
-0.0     -0.013     -0.0     0.7982025
-0.0     -0.012     -0.0     0.7889196
-0.0     -0.011     -0.0     0.7796854
-0.0     -0.01     -0.0     0.770166
-0.0     -0.009     -0.0     0.76073074
-0.0     -0.008     -0.0     0.7513143
-0.0     -0.007     -0.0     0.7427247
-0.0     -0.006     -0.0     0.73440444
-0.0     -0.005     -0.0     0.7261969
-0.0     -0.004     -0.0     0.7176313
-0.0     -0.003     -0.0     0.70881927
-0.0     -0.002     -0.0     0.70016915
-0.0     -0.001     -0.0     0.69122946
0.0     0.0     0.0     0.68241954
0.0     0.001     0.0     0.67279434
0.0     0.002     0.0     0.6622716
0.0     0.003     0.0     0.65106034
0.0     0.004     0.0     0.64010954
0.0     0.005     0.0     0.6286612
0.0     0.006     0.0     0.6179257
0.0     0.007     0.0     0.60707605
0.0     0.008     0.0     0.5976994
0.0     0.009     0.0     0.58880186
0.0     0.01     0.0     0.5816901
0.0     0.011     0.0     0.5749388
0.0     0.012     0.0     0.5688727
0.0     0.013     0.0     0.56380266
0.0     0.014     0.0     0.55974627
0.0     0.015     0.0     0.5563666
0.0     0.016     0.0     0.5533243
0.0     0.017     0.0     0.550683
0.0     0.018     0.0     0.5484514
0.0     0.019     0.0     0.54686
0.0     0.02     0.0     0.54642344
0.0     0.021     0.0     0.5470857
0.0     0.022     0.0     0.54831463
0.0     0.023     0.0     0.5497867
0.0     0.024     0.0     0.5514264
0.0     0.025     0.0     0.5530189
0.0     0.026     0.0     0.5544983
0.0     0.027     0.0     0.5559411
0.0     0.028     0.0     0.55709267
0.0     0.029     0.0     0.55822116
0.0     0.03     0.0     0.55946577
