Inference results by NN model
strain parameters and last term is v6
strain_x    strain_y     strain_z     v6
-0.0     -0.03     -0.03     0.84239495
-0.0     -0.029     -0.029     0.8328742
-0.0     -0.028     -0.028     0.8235018
-0.0     -0.027     -0.027     0.8142534
-0.0     -0.026     -0.026     0.8051144
-0.0     -0.025     -0.025     0.7960075
-0.0     -0.024     -0.024     0.7869907
-0.0     -0.023     -0.023     0.7778944
-0.0     -0.022     -0.022     0.7686185
-0.0     -0.021     -0.021     0.75912637
-0.0     -0.02     -0.02     0.7498007
-0.0     -0.019     -0.019     0.74072707
-0.0     -0.018     -0.018     0.73173904
-0.0     -0.017     -0.017     0.7228346
-0.0     -0.016     -0.016     0.7135398
-0.0     -0.015     -0.015     0.7044581
-0.0     -0.014     -0.014     0.6955971
-0.0     -0.013     -0.013     0.6870973
-0.0     -0.012     -0.012     0.6791587
-0.0     -0.011     -0.011     0.6710011
-0.0     -0.01     -0.01     0.663251
-0.0     -0.009     -0.009     0.6558665
-0.0     -0.008     -0.008     0.64858574
-0.0     -0.007     -0.007     0.64096737
-0.0     -0.006     -0.006     0.6346358
-0.0     -0.005     -0.005     0.62756306
-0.0     -0.004     -0.004     0.6191558
-0.0     -0.003     -0.003     0.6098635
-0.0     -0.002     -0.002     0.6000997
-0.0     -0.001     -0.001     0.5906195
0.0     0.0     0.0     0.58033854
0.0     0.001     0.001     0.5731545
0.0     0.002     0.002     0.56641626
0.0     0.003     0.003     0.55766803
0.0     0.004     0.004     0.5461974
0.0     0.005     0.005     0.5336
0.0     0.006     0.006     0.5206307
0.0     0.007     0.007     0.5080339
0.0     0.008     0.008     0.49661368
0.0     0.009     0.009     0.486364
0.0     0.01     0.01     0.47719532
0.0     0.011     0.011     0.46771014
0.0     0.012     0.012     0.45862305
0.0     0.013     0.013     0.44963354
0.0     0.014     0.014     0.44136345
0.0     0.015     0.015     0.43365952
0.0     0.016     0.016     0.42611578
0.0     0.017     0.017     0.41974783
0.0     0.018     0.018     0.4136793
0.0     0.019     0.019     0.40781283
0.0     0.02     0.02     0.40266326
0.0     0.021     0.021     0.39782172
0.0     0.022     0.022     0.39344212
0.0     0.023     0.023     0.38937208
0.0     0.024     0.024     0.385459
0.0     0.025     0.025     0.38156137
0.0     0.026     0.026     0.37804845
0.0     0.027     0.027     0.3749942
0.0     0.028     0.028     0.3720824
0.0     0.029     0.029     0.36918336
0.0     0.03     0.03     0.36646092
