Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v1
strin_x    strain_y    strain_z    v1
-0.03   -0.0   -0.0  0.78732246
-0.03   -0.0   -0.0  0.77890664
-0.03   -0.0   -0.0  0.7704404
-0.03   -0.0   -0.0  0.7619248
-0.03   -0.0   -0.0  0.7535503
-0.03   -0.0   -0.0  0.7452959
-0.03   -0.0   -0.0  0.73692673
-0.03   -0.0   -0.0  0.7286542
-0.03   -0.0   -0.0  0.7205895
-0.03   -0.0   -0.0  0.7124767
-0.03   -0.0   -0.0  0.7043801
-0.03   -0.0   -0.0  0.696307
-0.03   -0.0   -0.0  0.68799037
-0.03   -0.0   -0.0  0.6794786
-0.03   -0.0   -0.0  0.67110234
-0.03   -0.0   -0.0  0.6625708
-0.03   -0.0   -0.0  0.65371716
-0.03   -0.0   -0.0  0.6442094
-0.03   -0.0   -0.0  0.6349133
-0.03   -0.0   -0.0  0.6257182
-0.03   -0.0   -0.0  0.6162449
-0.03   -0.0   -0.0  0.60653245
-0.03   -0.0   -0.0  0.5966316
-0.03   -0.0   -0.0  0.5865287
-0.03   -0.0   -0.0  0.5760055
-0.03   -0.0   -0.0  0.565727
-0.03   -0.0   -0.0  0.55558133
-0.03   -0.0   -0.0  0.545195
-0.03   -0.0   -0.0  0.5346692
-0.03   -0.0   -0.0  0.5244244
-0.03   -0.0   -0.0  0.5129584
-0.03   -0.0   -0.0  0.50026715
-0.03   -0.0   -0.0  0.4860685
-0.03   -0.0   -0.0  0.47169137
-0.03   -0.0   -0.0  0.45705557
-0.03   -0.0   -0.0  0.44206858
-0.03   -0.0   -0.0  0.4261335
-0.03   -0.0   -0.0  0.4114303
-0.03   -0.0   -0.0  0.39684194
-0.03   -0.0   -0.0  0.3821686
-0.03   -0.0   -0.0  0.36814535
-0.03   -0.0   -0.0  0.35513145
-0.03   -0.0   -0.0  0.34327757
-0.03   -0.0   -0.0  0.33152285
-0.03   -0.0   -0.0  0.32022542
-0.03   -0.0   -0.0  0.3089901
-0.03   -0.0   -0.0  0.29831174
-0.03   -0.0   -0.0  0.2876731
-0.03   -0.0   -0.0  0.27753615
-0.03   -0.0   -0.0  0.268249
-0.03   -0.0   -0.0  0.25959936
-0.03   -0.0   -0.0  0.25156805
-0.03   -0.0   -0.0  0.2438866
-0.03   -0.0   -0.0  0.23628065
-0.03   -0.0   -0.0  0.2292318
-0.03   -0.0   -0.0  0.22292751
-0.03   -0.0   -0.0  0.21724473
-0.03   -0.0   -0.0  0.2120817
-0.03   -0.0   -0.0  0.20728657
-0.03   -0.0   -0.0  0.20292936
-0.03   -0.0   -0.0  0.19893382
