Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v2
strin_x    strain_y    strain_z    v2
0.0   0.0   0.0  0.46668178
0.0   0.0   0.001  0.45506817
0.0   0.0   0.002  0.44231826
0.0   0.0   0.003  0.42888647
0.0   0.0   0.004  0.4141122
0.0   0.0   0.005  0.40091562
0.0   0.0   0.006  0.3894847
0.0   0.0   0.007  0.38046688
0.0   0.0   0.008  0.37112802
0.0   0.0   0.009  0.36182815
0.0   0.0   0.01  0.3528895
0.0   0.0   0.011  0.34399393
0.0   0.0   0.012  0.33444864
0.0   0.0   0.013  0.3244716
0.0   0.0   0.014  0.31456682
0.0   0.0   0.015  0.30466986
0.0   0.0   0.016  0.2951629
0.0   0.0   0.017  0.28614956
0.0   0.0   0.018  0.27727288
0.0   0.0   0.019  0.26855662
0.0   0.0   0.02  0.26053867
0.0   0.0   0.021  0.25315735
0.0   0.0   0.022  0.24631746
0.0   0.0   0.023  0.2397839
0.0   0.0   0.024  0.23325479
0.0   0.0   0.025  0.22694331
0.0   0.0   0.026  0.22052883
0.0   0.0   0.027  0.2141092
0.0   0.0   0.028  0.20788771
0.0   0.0   0.029  0.20195428
0.0   0.0   0.03  0.19640933
0.0   0.0   0.031  0.19100389
0.0   0.0   0.032  0.18557478
0.0   0.0   0.033  0.18021828
0.0   0.0   0.034  0.17520998
0.0   0.0   0.035  0.17046055
0.0   0.0   0.036  0.1658541
0.0   0.0   0.037  0.16144484
0.0   0.0   0.038  0.15719366
0.0   0.0   0.039  0.15321931
0.0   0.0   0.04  0.14965326
0.0   0.0   0.041  0.14615533
0.0   0.0   0.042  0.14272222
0.0   0.0   0.043  0.13921663
0.0   0.0   0.044  0.13585648
0.0   0.0   0.045  0.13258818
0.0   0.0   0.046  0.1293267
0.0   0.0   0.047  0.12603939
0.0   0.0   0.048  0.12273975
0.0   0.0   0.049  0.1194282
0.001   0.0   0.0  0.46024
0.001   0.0   0.001  0.44863498
0.001   0.0   0.002  0.43528658
0.001   0.0   0.003  0.421929
0.001   0.0   0.004  0.4080631
0.001   0.0   0.005  0.39523417
0.001   0.0   0.006  0.38401818
0.001   0.0   0.007  0.37510267
0.001   0.0   0.008  0.3659666
0.001   0.0   0.009  0.35628587
0.001   0.0   0.01  0.34694898
0.001   0.0   0.011  0.33771828
0.001   0.0   0.012  0.32867846
0.001   0.0   0.013  0.31950688
0.001   0.0   0.014  0.3099234
0.001   0.0   0.015  0.30027008
0.001   0.0   0.016  0.2905888
0.001   0.0   0.017  0.28137743
0.001   0.0   0.018  0.27258587
0.001   0.0   0.019  0.26441342
